Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry,Exposure Time,Photometry Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Name
iPTF13dkl,0.04,0.001415057731495088,0.0004018580929844287,2.8251992215149097e-05,0.023234914972746296,346.05,0.008194097448849585,4.786392484385737e-18,1.6879840744630145e-18,1.6842025050460576e+37,6.055855644221226e+36,1.0828966510038498e+37,3.967479990500898e+36,37.03458701060457,0.15911533804623246,./Tar archives (uncomp.)/iPTF13dkl/1/AIS_149/AIS_149_sg59-fd-int.fits
iPTF13dk,0.03,0.001415057731495088,0.0007112778969674802,6.695515937080719e-05,0.06731453497699916,96.0,0.026480050057795412,1.3866794205261825e-17,5.454890311905855e-18,2.756737901061256e+37,1.1147893500294532e+37,3.1372907788118323e+37,1.3025995602097715e+37,37.49655477301109,0.18031857453230876,./Tar archives (uncomp.)/iPTF13dkx/1/AIS_266/AIS_266_sg27-fd-int.fits
iPTF13dk,0.03,0.001415057731495088,0.0007112778969674802,6.695515937080719e-05,0.05270341730592024,2690.3,0.004426077580867971,1.085690396501957e-17,9.117719816588022e-19,2.1583675509653648e+37,2.7160782512669036e+36,2.456318612053592e+37,3.860150548697783e+36,37.39028469898468,0.06825018848893044,./Tar archives (uncomp.)/iPTF13dkx/2/NGRG_A227/NGRG_A227-fd-int.fits
iPTF13dk,0.03,0.001415057731495088,0.0007112778969674802,6.695515937080719e-05,0.05223319257976312,2433.3,0.004633140295183289,1.0760037671431202e-17,9.544269008077575e-19,2.1391103975874737e+37,2.7602540361364727e+36,2.4344031119636616e+37,3.888329917676163e+36,37.386392494520905,0.06936732124467025,./Tar archives (uncomp.)/iPTF13dkx/3/MISWZS01_17251_0267/MISWZS01_17251_0267-fd-int.fits
iPTF14gdr,0.07,0.001415057731495088,0.0001329843744525163,5.296299377167396e-06,0.008970485952628105,112.0,0.008949504014173838,1.8479201062413896e-18,1.8435978269198107e-18,1.9649038161643232e+37,1.961866727545622e+37,4.180824077631593e+36,4.177681429143042e+36,36.62126189351998,0.43396803073673623,./Tar archives (uncomp.)/iPTF14gdr/1/AIS_267/AIS_267_sg57-fd-int.fits
iPTF14gnl,0.05,0.001415057731495088,0.0002583304528498816,1.4482812814514765e-05,0.006088600564397034,248.0,0.004954877464799228,1.254251716265789e-18,1.0207047577486408e-18,6.865431190640762e+36,5.600259126297817e+36,2.837679917580687e+36,2.320208504214056e+36,36.45296340667179,0.35509774869332505,./Tar archives (uncomp.)/iPTF14gnl/1/AIS_267/AIS_267_sg38-fd-int.fits
LSQ12fhs,0.033,0.001415057731495088,0.0005886076884361454,5.029776366735877e-05,0.03287678970465293,170.0,0.013906577049038969,6.772618679158504e-18,2.8647548721020276e-18,1.6270069703923212e+37,7.020112597051162e+36,1.532270099059392e+37,6.739757620882301e+36,37.185335326779466,0.1910263435872945,./Tar archives (uncomp.)/LSQ12fhs/1/AIS_162/AIS_162_sg75-fd-int.fits
LSQ12fm,0.067,0.001415057731495088,0.00014496460587866075,6.03668581195167e-06,0.0,100.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,nan,./Tar archives (uncomp.)/LSQ12fmx/1/AIS_181/AIS_181_sg22-fd-int.fits
LSQ12fm,0.067,0.001415057731495088,0.00014496460587866075,6.03668581195167e-06,0.00039861383949266513,236.0,0.0012996313884702842,8.211445093548902e-20,2.6772406602487856e-19,8.009701551369042e+35,2.6116772801926975e+36,1.857797165759857e+35,6.058106274468272e+35,35.268998295987075,1.4161944986652686,./Tar archives (uncomp.)/LSQ12fmx/3/AIS_181/AIS_181_sg23-fd-int.fits
LSQ12fm,0.067,0.001415057731495088,0.00014496460587866075,6.03668581195167e-06,0.0013115706438452588,1696.15,0.0008793538879926062,2.701835526321233e-19,1.811469009264769e-19,2.635455265203046e+36,1.7703626990953493e+36,6.112763741296013e+35,4.1141212785163916e+35,35.78623761060505,0.2922966181515793,./Tar archives (uncomp.)/LSQ12fmx/4/MISGCSS_18648_0410o/MISGCSS_18648_0410o-fd-int.fits
