Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry,Exposure Time,Pixel Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Name
SN2014aa,0.01698,0.001415058,0.002207684,0.00037174,0.12754306,2915.1,0.006614571,2.63E-17,1.36E-18,1.68E+37,2.93E+36,5.94E+37,1.44E+37,37.77410276,0.105147957,Tar archives (uncomp.)/SN2014aa/1/A1367_SPEC_A/A1367_SPEC_A-fd-int.fits
SN2014aa,0.01698,0.001415058,0.002207684,0.00037174,0.112474272,941.6,0.010929326,2.32E-17,2.25E-18,1.48E+37,2.86E+36,5.24E+37,1.34E+37,37.71949911,0.111039359,Tar archives (uncomp.)/SN2014aa/2/GI5_063012_A1367_FIELD1/GI5_063012_A1367_FIELD1-fd-int.fits
SN2014aa,0.01698,0.001415058,0.002207684,0.00037174,0.12754306,2915.1,0.006614571,2.63E-17,1.36E-18,1.68E+37,2.93E+36,5.94E+37,1.44E+37,37.77410276,0.105147957,Tar archives (uncomp.)/SN2014aa/3/A1367_SPEC_A/A1367_SPEC_A-fd-int.fits
SN2014aa,0.01698,0.001415058,0.002207684,0.00037174,0.157292986,96,0.040478001,3.24E-17,8.34E-18,2.08E+37,6.36E+36,7.33E+37,2.56E+37,37.86515528,0.151787801,Tar archives (uncomp.)/SN2014aa/4/AIS_226/AIS_226_sg41-fd-int.fits
SN2014J,0.00068,0.001415058,1.366887076,0.512495633,64.60719528,11527.35,0.074864461,1.33E-14,1.54E-17,1.38E+37,5.73E+37,3.01E+40,1.26E+41,40.47872681,1.814561548,Tar archives (uncomp.)/SN2014J/2/NGA_M82/NGA_M82-fd-int.fits
SN2014J,0.00068,0.001415058,1.366887076,0.512495633,67.66255088,3075.25,0.148331699,1.39E-14,3.06E-17,1.44E+37,6.00E+37,3.15E+40,1.32E+41,40.49879429,1.814561728,Tar archives (uncomp.)/SN2014J/3/NGA_M81andM82/NGA_M81andM82-fd-int.fits
SNhunt175,0.0409,0.001415058,0.00038452,2.64E-05,0.004206568,188,0.00473026,8.67E-19,9.74E-19,3.19E+36,3.59E+36,1.96E+36,2.21E+36,36.29237385,0.490178434,Tar archives (uncomp.)/SNhunt175/1/AIS_357/AIS_357_sg54-fd-int.fits
SNhunt206,0.027,0.001415058,0.000876967,9.19E-05,0.008056364,312.05,0.005081097,1.66E-18,1.05E-18,2.68E+36,1.71E+36,3.75E+36,2.43E+36,36.574585,0.281324025,Tar archives (uncomp.)/SNhunt206/1/AIS_184/AIS_184_sg72-fd-int.fits
SNhunt206,0.027,0.001415058,0.000876967,9.19E-05,0,112,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/SNhunt206/3/AIS_184/AIS_184_sg71-fd-int.fits
SNhunt263,0.0268,0.001415058,0.000890027,9.40E-05,0.034592454,125,0.016635493,7.13E-18,3.43E-18,1.13E+37,5.57E+36,1.61E+37,8.12E+36,37.2074273,0.218631858,Tar archives (uncomp.)/SNhunt263/1/AIS_85/AIS_85_sg15-fd-int.fits
SNhunt263,0.0268,0.001415058,0.000890027,9.40E-05,0,88.05,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/SNhunt263/2/AIS_85/AIS_85_sg20-fd-int.fits
