Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry,Exposure Time,Pixel Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Name
PSNJ03034759+0024146,0.04,0.001415058,0.000401858,2.83E-05,0,220,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/PSN J03034759+0024146/2/AIS_180/AIS_180_sg92-fd-int.fits
PSNJ03034759+0024146,0.04,0.001415058,0.000401858,2.83E-05,0.004806719,3403.05,0.001188475,9.90E-19,2.45E-19,3.48E+36,8.95E+35,2.24E+36,5.97E+35,36.35029462,0.115716922,Tar archives (uncomp.)/PSN J03034759+0024146/3/MISGCSS_18524_0410/MISGCSS_18524_0410-fd-int.fits
PSNJ03034759+0024146,0.04,0.001415058,0.000401858,2.83E-05,0.002513386,1579.05,0.001261629,5.18E-19,2.60E-19,1.82E+36,9.23E+35,1.17E+36,5.99E+35,36.06870512,0.22222483,Tar archives (uncomp.)/PSN J03034759+0024146/4/SDSS_1179_181_18524/SDSS_1179_181_18524-fd-int.fits
PSNJ07250042+2347030,0.018,0.001415058,0.001965441,0.000311646,0.090768783,217,0.020452123,1.87E-17,4.21E-18,1.35E+37,3.69E+36,4.23E+37,1.34E+37,37.62638244,0.137637361,Tar archives (uncomp.)/PSN J07250042+2347030/1/AIS_198/AIS_198_sg05-fd-int.fits
PSNJ07250042+2347030,0.018,0.001415058,0.001965441,0.000311646,0,213,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/PSN J07250042+2347030/2/AIS_198/AIS_198_sg02-fd-int.fits
PSNJ08351668+4819011,0.043,0.001415058,0.000348202,2.27E-05,0.049469963,111,0.021111024,1.02E-17,4.35E-18,4.14E+37,1.79E+37,2.31E+37,1.01E+37,37.36278751,0.189617548,Tar archives (uncomp.)/PSN J08351668+4819011/1/AIS_80/AIS_80_sg73-fd-int.fits
PSNJ10292799+2200468,0.05445,0.001415058,0.000218263,1.12E-05,0.030428021,108,0.01678514,6.27E-18,3.46E-18,4.06E+37,2.25E+37,1.42E+37,7.89E+36,37.15171964,0.241641219,Tar archives (uncomp.)/PSN J10292799+2200468/1/AIS_333/AIS_333_sg44-fd-int.fits
PSNJ10292799+2200468,0.05445,0.001415058,0.000218263,1.12E-05,0,1766.1,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/PSN J10292799+2200468/2/GI1_047040_UGC05672/GI1_047040_UGC05672-fd-int.fits
PSNJ10292799+2200468,0.05445,0.001415058,0.000218263,1.12E-05,0,137,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/PSN J10292799+2200468/3/AIS_333/AIS_333_sg45-fd-int.fits
PTF11moy,0.06,0.001415058,0.000180197,8.39E-06,0.002587972,121,0.004624737,5.33E-19,9.53E-19,4.18E+36,7.48E+36,1.21E+36,2.16E+36,36.08140546,0.776616302,Tar archives (uncomp.)/PTF11moy/1/AIS_11/AIS_11_sg74-fd-int.fits
PTF11owc,0.07,0.001415058,0.000132984,5.30E-06,0.004066368,163,0.004994701,8.38E-19,1.03E-18,8.91E+36,1.09E+37,1.90E+36,2.33E+36,36.27765256,0.534002055,Tar archives (uncomp.)/PTF11owc/1/AIS_80/AIS_80_sg27-fd-int.fits
PTF11owc,0.07,0.001415058,0.000132984,5.30E-06,0.006097888,1658.1,0.001917716,1.26E-18,3.95E-19,1.34E+37,4.23E+36,2.84E+36,9.08E+35,36.45362539,0.138752027,Tar archives (uncomp.)/PTF11owc/2/MISDR2_03372_0766/MISDR2_03372_0766-fd-int.fits
PTF11owc,0.07,0.001415058,0.000132984,5.30E-06,0.009304206,326,0.005342332,1.92E-18,1.10E-18,2.04E+37,1.17E+37,4.34E+36,2.50E+36,36.63712526,0.25056107,Tar archives (uncomp.)/PTF11owc/3/AIS_80/AIS_80_sg36-fd-int.fits
PTF11owc,0.07,0.001415058,0.000132984,5.30E-06,0,88.05,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/PTF11owc/4/AIS_80/AIS_80_sg37-fd-int.fits
CSS121006:232854+085452,0.08,0.001415058,0.000102276,3.55E-06,0.007508172,1643.35,0.00213748,1.55E-18,4.40E-19,2.14E+37,6.13E+36,3.50E+36,1.01E+36,36.54398013,0.125466429,Tar archives (uncomp.)/PTF11pbp/1/NGRG_HCG96/NGRG_HCG96-fd-int.fits
SN2011hb,0.029,0.001415058,0.000760844,7.41E-05,0.098247002,1643.35,0.007732049,2.02E-17,1.59E-18,3.76E+37,4.70E+36,4.58E+37,7.25E+36,37.66076523,0.068791283,Tar archives (uncomp.)/PTF11pbp/1/NGRG_HCG96/NGRG_HCG96-fd-int.fits
CSS121006:232854+085452,0.08,0.001415058,0.000102276,3.55E-06,0.005627886,284.05,0.004451181,1.16E-18,9.17E-19,1.60E+37,1.27E+37,2.62E+36,2.08E+36,36.41879123,0.344152473,Tar archives (uncomp.)/PTF11pbp/2/AIS_149/AIS_149_sg09-fd-int.fits
SN2011hb,0.029,0.001415058,0.000760844,7.41E-05,0.052011387,284.05,0.013531683,1.07E-17,2.79E-18,1.99E+37,5.53E+36,2.42E+37,7.13E+36,37.38454436,0.12779139,Tar archives (uncomp.)/PTF11pbp/2/AIS_149/AIS_149_sg09-fd-int.fits
CSS121006:232854+085452,0.08,0.001415058,0.000102276,3.55E-06,0.009736313,221,0.006637448,2.01E-18,1.37E-18,2.77E+37,1.89E+37,4.54E+36,3.10E+36,36.65684045,0.296835796,Tar archives (uncomp.)/PTF11pbp/3/AIS_149/AIS_149_sg03-fd-int.fits
SN2011hb,0.029,0.001415058,0.000760844,7.41E-05,0.086001602,221,0.019726822,1.77E-17,4.06E-18,3.29E+37,8.20E+36,4.01E+37,1.07E+37,37.60295247,0.116136333,Tar archives (uncomp.)/PTF11pbp/3/AIS_149/AIS_149_sg03-fd-int.fits
PTF11qmo,0.055,0.001415058,0.000213972,1.09E-05,0.004588097,112,0.006400403,9.45E-19,1.32E-18,6.25E+36,8.72E+36,2.14E+36,2.99E+36,36.33007852,0.606646239,Tar archives (uncomp.)/PTF11qmo/1/AIS_315/AIS_315_sg87-fd-int.fits
PTF11qmo,0.055,0.001415058,0.000213972,1.09E-05,0.001896707,1304,0.001206039,3.91E-19,2.48E-19,2.58E+36,1.65E+36,8.84E+35,5.66E+35,35.94644619,0.277911334,Tar archives (uncomp.)/PTF11qmo/2/NGA_NGC3115/NGA_NGC3115-fd-int.fits
PTF11qpc,0.091,0.001415058,7.94E-05,2.42E-06,0.004539445,1491.3,0.001744692,9.35E-19,3.59E-19,1.66E+37,6.42E+36,2.12E+36,8.18E+35,36.32544871,0.167962326,Tar archives (uncomp.)/PTF11qpc/2/GI1_077008_FAUSTN_24/GI1_077008_FAUSTN_24-fd-int.fits
PTF11qpc,0.091,0.001415058,7.94E-05,2.42E-06,0,91,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/PTF11qpc/3/AIS_227/AIS_227_sg88-fd-int.fits
PTF11qpc,0.091,0.001415058,7.94E-05,2.42E-06,0,110,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/PTF11qpc/4/AIS_227/AIS_227_sg95-fd-int.fits
PTF11qri,0.055,0.001415058,0.000213972,1.09E-05,0,1681.15,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/PTF11qri/1/GI4_085003_NGC4697/GI4_085003_NGC4697-fd-int.fits
PTF11qri,0.055,0.001415058,0.000213972,1.09E-05,0.013446033,123,0.010455493,2.77E-18,2.15E-18,1.83E+37,1.43E+37,6.27E+36,4.89E+36,36.79704008,0.339144448,Tar archives (uncomp.)/PTF11qri/2/AIS_229/AIS_229_sg60-fd-int.fits
PTF11qzq,0.06,0.001415058,0.000180197,8.39E-06,0.006616766,260.05,0.005044225,1.36E-18,1.04E-18,1.07E+37,8.17E+36,3.08E+36,2.36E+36,36.48909171,0.332312832,Tar archives (uncomp.)/PTF11qzq/1/AIS_75/AIS_75_sg80-fd-int.fits
PTF12iiq,0.029,0.001415058,0.000760844,7.41E-05,0.009583708,108,0.009420087,1.97E-18,1.94E-18,3.67E+36,3.62E+36,4.47E+36,4.43E+36,36.64997949,0.431034148,Tar archives (uncomp.)/PTF12iiq/1/AIS_180/AIS_180_sg73-fd-int.fits
PTF12iiq,0.029,0.001415058,0.000760844,7.41E-05,0.009751506,3436.8,0.001684452,2.01E-18,3.47E-19,3.73E+36,7.40E+35,4.54E+36,1.00E+36,36.65751763,0.095874329,Tar archives (uncomp.)/PTF12iiq/2/MISGCSS_18348_0410/MISGCSS_18348_0410-fd-int.fits
PTF12iiq,0.029,0.001415058,0.000760844,7.41E-05,0,1677,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/PTF12iiq/3/GI3_121015_J024833m003328/GI3_121015_J024833m003328-fd-int.fits
PTF12ik,0.045,0.001415058,0.00031822,1.99E-05,0.027587241,2410.1,0.00338327,5.68E-18,6.97E-19,2.53E+37,3.47E+36,1.29E+37,1.94E+36,37.10915419,0.065590606,Tar archives (uncomp.)/PTF12ikt/2/GI3_121007_J011536p002330/GI3_121007_J011536p002330-fd-int.fits
PTF13ayw,0.0538,0.001415058,0.000223504,1.16E-05,0,103.05,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/PTF13ayw/1/AIS_114/AIS_114_sg85-fd-int.fits
PTF13ddg,0.084,0.001415058,9.29E-05,3.07E-06,0.004193894,228,0.004288854,8.64E-19,8.84E-19,1.31E+37,1.34E+37,1.95E+36,2.00E+36,36.29106339,0.444591915,Tar archives (uncomp.)/PTF13ddg/1/AIS_165/AIS_165_sg22-fd-int.fits
PTF13ddg,0.084,0.001415058,9.29E-05,3.07E-06,6.70E-05,139,0.000694227,1.38E-20,1.43E-19,2.10E+35,2.18E+36,3.12E+34,3.24E+35,34.49446431,4.500617853,Tar archives (uncomp.)/PTF13ddg/2/AIS_165/AIS_165_sg32-fd-int.fits
PTF13ddg,0.084,0.001415058,9.29E-05,3.07E-06,0,1188.15,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/PTF13ddg/3/NGA_NGC0266/NGA_NGC0266-fd-int.fits
SN2011f,0.008,0.001415058,0.00990698,0.003728126,2.259641651,1037.05,0.046678827,4.65E-16,9.62E-18,6.64E+37,2.35E+37,1.05E+39,5.44E+38,39.02248549,0.22430588,Tar archives (uncomp.)/SN2011fe/1/NGA_M101/NGA_M101-fd-int.fits
SN2011f,0.008,0.001415058,0.00990698,0.003728126,2.077686544,184,0.106262763,4.28E-16,2.19E-17,6.11E+37,2.18E+37,9.68E+38,5.02E+38,38.98602595,0.22522435,Tar archives (uncomp.)/SN2011fe/2/AIS_101/AIS_101_sg32-fd-int.fits
SN2011fs,0.021,0.001415058,0.001445886,0.000195736,0.020645836,160.05,0.011357648,4.25E-18,2.34E-18,4.16E+36,2.36E+36,9.62E+36,5.60E+36,36.9832784,0.252844593,Tar archives (uncomp.)/SN2011fs/1/AIS_41/AIS_41_sg17-fd-int.fits
SN2011fs,0.021,0.001415058,0.001445886,0.000195736,0.017235599,157.05,0.010475969,3.55E-18,2.16E-18,3.47E+36,2.16E+36,8.03E+36,5.12E+36,36.9048723,0.276640982,Tar archives (uncomp.)/SN2011fs/2/AIS_41/AIS_41_sg10-fd-int.fits
SN2011gf,0.027,0.001415058,0.000876967,9.19E-05,0.008938996,2488.55,0.00189527,1.84E-18,3.90E-19,2.97E+36,7.01E+35,4.17E+36,1.08E+36,36.61973467,0.112236806,Tar archives (uncomp.)/SN2011gf/1/MISDR1_20359_0639/MISDR1_20359_0639-fd-int.fits
SN2011gf,0.027,0.001415058,0.000876967,9.19E-05,0.01496376,105,0.011937839,3.08E-18,2.46E-18,4.97E+36,4.00E+36,6.97E+36,5.66E+36,36.84348666,0.352366004,Tar archives (uncomp.)/SN2011gf/2/AIS_245/AIS_245_sg91-fd-int.fits
SN2011gf,0.027,0.001415058,0.000876967,9.19E-05,0.011722095,277.05,0.006504644,2.41E-18,1.34E-18,3.89E+36,2.20E+36,5.46E+36,3.14E+36,36.73745117,0.249390173,Tar archives (uncomp.)/SN2011gf/3/AIS_245/AIS_245_sg83-fd-int.fits
SN2011ha,0.094,0.001415058,7.46E-05,2.20E-06,0,2939.05,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/SN2011ha/1/WDST_HZ_4/WDST_HZ_4-fd-int.fits
SN2011ha,0.094,0.001415058,7.46E-05,2.20E-06,0.000534946,201,0.001631387,1.10E-19,3.36E-19,2.09E+36,6.37E+36,2.49E+35,7.60E+35,35.39675571,1.324560926,Tar archives (uncomp.)/SN2011ha/2/AIS_172/AIS_172_sg74-fd-int.fits
SN2011ha,0.094,0.001415058,7.46E-05,2.20E-06,0,2939.05,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/SN2011ha/3/WDST_HZ_4/WDST_HZ_4-fd-int.fits
SN2011ha,0.094,0.001415058,7.46E-05,2.20E-06,0.001904953,13321.1,0.000378157,3.92E-19,7.79E-20,7.44E+36,1.49E+36,8.88E+35,1.80E+35,35.94833023,0.088092331,Tar archives (uncomp.)/SN2011ha/4/WDST_HZ_4_ST/WDST_HZ_4_ST-fd-int.fits
SN2011hk,0.018,0.001415058,0.001965441,0.000311646,0.170477069,108,0.039730233,3.51E-17,8.18E-18,2.53E+37,7.09E+36,7.95E+37,2.56E+37,37.90011189,0.140044716,Tar archives (uncomp.)/SN2011hk/1/AIS_284/AIS_284_sg34-fd-int.fits
SN2011hk,0.018,0.001415058,0.001965441,0.000311646,0.160114428,30536.5,0.002289842,3.30E-17,4.72E-19,2.37E+37,3.73E+36,7.46E+37,1.67E+37,37.87287639,0.096989065,Tar archives (uncomp.)/SN2011hk/2/XMMLSS_08/XMMLSS_08-fd-int.fits
SN2011ho,0.032,0.001415058,0.000625696,5.52E-05,0.004103552,108,0.006164078,8.45E-19,1.27E-18,1.91E+36,2.87E+36,1.91E+36,2.88E+36,36.2816059,0.654602368,Tar archives (uncomp.)/SN2011ho/1/AIS_106/AIS_106_sg97-fd-int.fits
SN2011hr,0.013,0.001415058,0.003759887,0.000835888,1.190027398,105,0.106459355,2.45E-16,2.19E-17,9.22E+37,2.16E+37,5.55E+38,1.79E+38,38.74400288,0.140428928,Tar archives (uncomp.)/SN2011hr/1/AIS_85/AIS_85_sg74-fd-int.fits
SN2011io,0.04,0.001415058,0.000401858,2.83E-05,0.002379052,3764.05,0.000795013,4.90E-19,1.64E-19,1.72E+36,5.89E+35,1.11E+36,3.87E+35,36.04484987,0.15140107,Tar archives (uncomp.)/SN2011io/1/NGA_NGC7469/NGA_NGC7469-fd-int.fits
SN2011io,0.04,0.001415058,0.000401858,2.83E-05,0.005792935,205,0.005315846,1.19E-18,1.10E-18,4.20E+36,3.86E+36,2.70E+36,2.49E+36,36.43134461,0.400853831,Tar archives (uncomp.)/SN2011io/2/AIS_148/AIS_148_sg65-fd-int.fits
SN2011io,0.04,0.001415058,0.000401858,2.83E-05,0,196,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/SN2011io/3/AIS_148/AIS_148_sg76-fd-int.fits
SN2011iy,0.00427,0.001415058,0.034718916,0.02900987,6.192717483,96,0.253983216,1.28E-15,5.23E-17,5.20E+37,3.45E+37,2.89E+39,3.08E+39,39.46032719,0.463360206,Tar archives (uncomp.)/SN2011iy/1/AIS_230/AIS_230_sg94-fd-int.fits
SN2011jh,0.00779,0.001415058,0.010447369,0.004051933,1.354769056,103,0.114686955,2.79E-16,2.36E-17,3.78E+37,1.41E+37,6.31E+38,3.40E+38,38.80031119,0.233524345,Tar archives (uncomp.)/SN2011jh/1/AIS_331/AIS_331_sg93-fd-int.fits
SN2012bh,0.02524,0.001415058,0.001002762,0.000112522,0.011937838,13755.6,0.000931586,2.46E-18,1.92E-19,3.47E+36,4.72E+35,5.56E+36,9.81E+35,36.74537161,0.076607802,Tar archives (uncomp.)/SN2012bh/1/PS_NGC4258_MOS26/PS_NGC4258_MOS26-fd-int.fits
SN2012bh,0.02524,0.001415058,0.001002762,0.000112522,0,1661.05,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/SN2012bh/2/GI1_047059_NGC4144/GI1_047059_NGC4144-fd-int.fits
SN2012bm,0.0248,0.001415058,0.00103846,0.000118633,0.055769576,211,0.016257638,1.15E-17,3.35E-18,1.56E+37,4.89E+36,2.60E+37,8.66E+36,37.41484327,0.144635979,Tar archives (uncomp.)/SN2012bm/1/AIS_103/AIS_103_sg75-fd-int.fits
SN2012bm,0.0248,0.001415058,0.00103846,0.000118633,0.03948498,1572.2,0.005011435,8.13E-18,1.03E-18,1.11E+37,1.89E+36,1.84E+37,3.77E+36,37.26487785,0.089047763,Tar archives (uncomp.)/SN2012bm/2/GI1_047086_UGC08215/GI1_047086_UGC08215-fd-int.fits
SN2012bm,0.0248,0.001415058,0.00103846,0.000118633,0,208,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/SN2012bm/3/AIS_108/AIS_108_sg03-fd-int.fits
SN2012bm,0.0248,0.001415058,0.00103846,0.000118633,0,205.05,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/SN2012bm/4/AIS_103/AIS_103_sg65-fd-int.fits
SN2012bo,0.02543,0.001415058,0.000987916,0.000110013,0.054457121,96,0.023817256,1.12E-17,4.91E-18,1.61E+37,7.24E+36,2.54E+37,1.18E+37,37.4045006,0.201809533,Tar archives (uncomp.)/SN2012bo/1/AIS_330/AIS_330_sg02-fd-int.fits
SN2012bo,0.02543,0.001415058,0.000987916,0.000110013,0,88.1,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/SN2012bo/2/AIS_330/AIS_330_sg07-fd-int.fits
SN2012bp,0.02829,0.001415058,0.000799264,7.99E-05,0.025228684,227.05,0.010541115,5.20E-18,2.17E-18,9.19E+36,3.95E+36,1.18E+37,5.18E+36,37.07034052,0.191505374,Tar archives (uncomp.)/SN2012bp/3/AIS_10/AIS_10_sg73-fd-int.fits
SN2012fb,0.038,0.001415058,0.000444879,3.29E-05,0.046681198,91,0.022649066,9.62E-18,4.67E-18,3.06E+37,1.50E+37,2.18E+37,1.08E+37,37.33758791,0.215553721,Tar archives (uncomp.)/SN2012fb/1/AIS_63/AIS_63_sg04-fd-int.fits
SN2012fm,0.014,0.001415058,0.003243351,0.000667198,0.178589095,282.05,0.025163116,3.68E-17,5.18E-18,1.60E+37,3.94E+36,8.32E+37,2.67E+37,37.92030086,0.139236897,Tar archives (uncomp.)/SN2012fm/1/AIS_93/AIS_93_sg08-fd-int.fits
SN2012fr,0.005,0.001415058,0.025329034,0.016922376,2.177811312,1662.95,0.036188496,4.49E-16,7.45E-18,2.50E+37,1.42E+37,1.02E+39,8.89E+38,39.00646617,0.380182011,Tar archives (uncomp.)/SN2012fr/1/NGA_NGC1365/NGA_NGC1365-fd-int.fits
SN2012fr,0.005,0.001415058,0.025329034,0.016922376,2.087311821,200,0.102159479,4.30E-16,2.10E-17,2.40E+37,1.36E+37,9.73E+38,8.53E+38,38.98803326,0.380707351,Tar archives (uncomp.)/SN2012fr/2/AIS_423/AIS_423_sg49-fd-int.fits
SN2012fr,0.005,0.001415058,0.025329034,0.016922376,2.292992701,2179.05,0.032439021,4.72E-16,6.68E-18,2.64E+37,1.49E+37,1.07E+39,9.35E+38,39.0288486,0.380163162,Tar archives (uncomp.)/SN2012fr/4/FORNAX_MOS07/FORNAX_MOS07-fd-int.fits
SN2011fs,0.021,0.001415058,0.001445886,0.000195736,0.020645836,160.05,0.011357648,4.25E-18,2.34E-18,4.16E+36,2.36E+36,9.62E+36,5.60E+36,36.9832784,0.252844593,Tar archives (uncomp.)/SN2012go/1/AIS_41/AIS_41_sg17-fd-int.fits
SN2011fs,0.021,0.001415058,0.001445886,0.000195736,0.017235599,157.05,0.010475969,3.55E-18,2.16E-18,3.47E+36,2.16E+36,8.03E+36,5.12E+36,36.9048723,0.276640982,Tar archives (uncomp.)/SN2012go/2/AIS_41/AIS_41_sg10-fd-int.fits
SN2013ar,0.06,0.001415058,0.000180197,8.39E-06,0,109,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/SN2013ar/1/AIS_80/AIS_80_sg62-fd-int.fits
SN2013ar,0.06,0.001415058,0.000180197,8.39E-06,0,105.05,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/SN2013ar/2/AIS_80/AIS_80_sg52-fd-int.fits
SN2013b,0.06585,0.001415058,0.000149995,6.36E-06,0.009071889,1575.1,0.002399909,1.87E-18,4.94E-19,1.76E+37,4.72E+36,4.23E+36,1.15E+36,36.62614366,0.117799147,Tar archives (uncomp.)/SN2013be/2/NGA_Virgo_MOS07/NGA_Virgo_MOS07-fd-int.fits
