SN Name,Redshift,NUV Pixel Value,NUV Exposure Time,FUV Pixel Value,,Notes
SN2011io,0.04,0.00389864,3764.05;205.0;197.0,0.000269796,3764.05;205.0;196.0,
SN2011iu,0.04598,0.0318091,108.0;138.0,,,NUV only
SN2011iy,0.004266,0.045744,319,0.0119559,96,
SN2011jh,0.007789,0.0423057,312,0.010351,103,
SN2012bh,0.025244,0.00491893,13756.6;4551.15,0.000344293,13755.6;1661.05,
SN2012bm,0.024803,0.0172507; 0.0167164,211.0;3099.35;214.0;205.05,0.000959003,211.0;1572.2;208.0;205.05,
SN2012bo,0.0254,0.0122535,421.05;401.25,0.0110535,96.0;88.1,
SN2012bp,0.028291,0.00437079; 0.00510123; 0.0189461,137.0;1609.35;227.05;528.65,0.00581501,137.0;227.05,
SN2012cg,0.001458,,,,,All -int file regions off map
SN 2012em,0.038073,,,,,All regions off map
SN2012et,0.024961,,,,,No -int files with pixel values
SN2012fk,0.035,0.015344,88.05,,,NUV only
SN2012fm,0.014553,0.0299025,313.15,0.00435019,282.05,
SN2012fr,0.005457,0.0223518; 0.0179104; 0.0273582; 0.0189487,2677.95;207.0;140.0;3241.6,0.00368381; 0.0036324,1662.95;200.0;2179.05,
SN2012gm,0.01479,,,,,All regions off map
SN2012go,0.03,0.0144177,352.05;324.05,0.00920334; 0.00675105,160.05;157.05,
SN2013 cs,0.009243,0.0123959,112,0.01975,112,
SN2013ar,0.05201,0.0231214; 0.014892,109.0;105.05;4911.25,0.0317303,109.0;105.05,
SN2013be,0.065846,0.0105371; 0.0187859; 0.0227313,109.0;4495.15;10170.65;172.05,0.00140944; 0.00431499; 0.0104626,109.0;1575.1;504.0;108.05,
SN2013bo,0.036,0.0104935; 0.00978444,224.0;208.0;2103.05,0.0122864,224.0;208.0,
SN2013bq,0.06,0.02411,199.0;212.0,0.00540176,199.0;212.0,
SN2013bs,0.027612,0.0213511; 0.00733945,121.0;287.05;345.0,0.00576265,121.0;287.05;176.0,
SN2013bt,0.036446,0.044352; 0.00102683 ,184.0;109.0;205.0;1167.15,0.0183311,184.0;109.0;205.0,
SN2013cb,0.054127,,,,,No files available
SN2013ck,0.049,0.0104336,112,0.00924588,112,
SN2013da,0.02431,0.301602; 0.195644,120.0;189.1;98.1,0.0593299;  0.0628437,120.0;189.1;98.1,
SN2013fn,0.026975,0.0139373,192.0;191.0,0.00575954,192.0;191.0,
SN2013fw,0.016952,0.0693141,123.0;11728.05;11728.05,0.0188624,121.0;9341.0;9341.0,
SN2014aa,0.016982,0.0152886; 0.0125416,2915.1;1328.75;2915.1;96.0,0.00240819; 0.011907,2915.1;941.6;2915.1;96.0,
SN2014dk,0.038; 0.02,,,,,All files off-map
SN2014dm,0.03318,,,,,No files available
SN2014J,0.000677,0.035674; 0.0329085; 0.030606,11527.35;3075.25,0.00219901; 0.0033051,SN2014J,
SN2015G,0.00475,,,,,No files available
SN2012fb,0.0405,0.0278928,91.0;160.0,0.0146554,91.0;160.0,
SN2013fj,0.03357,0.0496454; 0.0154739,182.0;288.0;144.0,0.0161555; 0.0292237,182.0;144.0;144.0,
SNhunt175,0.040915,0.00680272,188,0.00696258,SNhunt175,
SNhunt206,0.027032,0.00793651,312.05;112.0,0.00354767,SNhunt206,
SNhunt263,0.026762,0.0104866; 0.00797766,125.0;88.05,0.00887041,SNhunt263,
