sn,Redshift,Redshift Error,NUV Exposure Time (s),NUV 1kpc Luminosity (erg s-1 A-1 kpc-2),NUV 1kpc Luminosity Error (erg s-1 A-1 kpc-2),NUV 1kpc Surface Brightness (erg s-1 A-1 arcsec^-2),NUV 1kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2),NUV 5kpc Surface Brightness (erg s-1 A-1 arcsec^-2),NUV 5kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2),FUV Exposure Time (s),FUV 1kpc Luminosity (erg s-1 A-1 kpc-2),FUV 1kpc Luminosity Error (erg s-1 A-1 kpc-2),FUV 1kpc Surface Brightness (erg s-1 A-1 arcsec^-2),FUV 1kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2),FUV 5kpc Surface Brightness (erg s-1 A-1 arcsec^-2),FUV 5kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2)
SN2010Y,0.01086,0.001001252377307552,1694.0,1.3476198203750854e+37,2.5920577041394564e+36,6.954498580476116e+35,1.8509362798011257e+35,1.197027897712775e+37,3.1344937926353556e+36,1694.0,1.0610776470291011e+37,2.4993169692285285e+36,5.4757750505516734e+35,1.636524866106843e+35,8.813346526736102e+36,2.3269949866689668e+36
SN2010ag,0.033791,0.001001763552513778,156.55,5.405816237703063e+37,1.422051615242197e+37,2.6739670974353044e+37,7.20800353690062e+36,2.724179304228444e+38,3.175571917944721e+37,156.55,1.2916237775426946e+37,1.7648041770577653e+37,6.388969457241055e+36,8.737632549805657e+36,3.897909319984033e+38,7.568180443148378e+37
SN2010ai,0.018369,0.0010013619743254806,25656.55,7.738215648140531e+36,8.832825366329522e+35,1.1387664464419872e+36,1.794091341870851e+35,1.6952331740340778e+37,2.6300202896321192e+36,136.0,0.0,0.0,0.0,0.0,8.025588293021302e+36,1.2711375586952582e+36
SN2010dl,0.030034,0.0010016438611702388,471.0,5.088933064768723e+36,2.1967295150472986e+36,1.9918759672840752e+36,8.698998176150875e+35,5.41795970156889e+37,6.793463923133554e+36,471.0,0.0,0.0,0.0,0.0,5.117307686242582e+37,1.2228598509163327e+37
SN2010dw,0.03812,0.001001918917809233,94.0,6.928115338880112e+36,7.24389162977362e+36,4.3529718714814535e+36,4.557027957782409e+36,2.7039357726022623e+38,4.1177576001774453e+37,94.0,2.9476525836828807e+37,3.8932813751855006e+37,1.8520258621654633e+37,2.44807359798365e+37,2.280651054456117e+38,8.746175037815587e+37
SN2010ew,0.025501,0.0010015181897824045,140.0,3.6074044852135555e+37,9.417300760822956e+36,1.0199541845350751e+37,2.779268509080937e+36,3.2774543489892286e+38,3.937359372465078e+37,140.0,8.374485286430841e+35,3.5609481880940455e+36,2.3677941706381443e+35,1.0069890255543036e+36,2.061811476615538e+38,3.7606209977408414e+37
SN2010iw,0.021498,0.001001424259476484,216.0,3.074502676984471e+37,6.31078838329191e+36,6.188732024155738e+36,1.393918404103855e+36,1.1551697330415533e+38,1.6065160045286451e+37,216.0,2.7528432839806344e+37,1.4055899823672937e+37,5.541256970302209e+36,2.8756198952177274e+36,1.3538520589716037e+38,2.2600733456940264e+37
SN2010ju,0.015244,0.001001309524073363,89.0,3.552988356368246e+37,8.129594572236202e+36,3.605824733311444e+36,9.505831347274352e+35,1.0211088634937931e+38,1.9383165211478586e+37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN2010jv,0.013469,0.0010012840742891222,2640.0,3.41491770972856e+37,5.23649821574524e+36,2.7076875852440645e+36,5.7750412411982586e+35,2.3959502913172706e+37,5.0627434893430835e+36,2640.0,1.685674525780792e+37,3.1809099734296115e+36,1.336571002345361e+36,3.2073417985457392e+35,1.2002195739030928e+37,2.574038567110183e+36
SN2010kg,0.016632,0.001001331616842305,183.35,4.305314274176407e+37,7.634826805412893e+36,5.198101954301224e+36,1.1129435699105999e+36,1.1582811428748944e+38,2.006471300490413e+37,183.3,9.453611722808406e+37,2.4322011849225544e+37,1.1413995458191218e+37,3.240153333413447e+36,1.769419208487373e+38,3.1935291868278494e+37
