Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry N/s,Exposure Time (s),Photometry Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Path
SN2011hk,0.018,0.0010013552733490869,0.001965440657902975,0.00021917368434837237,0.16011442769536516,30536.5,0.0022898424548415458,2.2416019877351125e-16,3.2057794367781644e-18,1.671293958618404e+38,1.9001982229624028e+37,5.255726556121956e+38,8.370006848194945e+37,38.72063276175405,0.06916356375940697,./fits files/Other Supernova/SN2011hk/2/XMMLSS_08/XMMLSS_08-fd-int.fits
SN2011ho,0.032,0.0010017047386650542,0.0006256955540274102,3.897347224659592e-05,0.0041035523221563215,108.0,0.0061640781699474475,5.74497325101885e-18,8.629709437926426e-18,1.382748055805706e+37,2.0789611447318926e+37,1.3842868973722806e+37,2.0830601229217447e+37,37.14122610820826,0.6535216930644181,./fits files/Other Supernova/SN2011ho/1/AIS_106/AIS_106_sg97-fd-int.fits
SN2011hr,0.013,0.0010012778752494357,0.0037598873314432673,0.0005844547075088658,1.190027398219553,105.0,0.10645935364263023,1.6660383575073743e-15,1.4904309509968232e-16,6.429656560026544e+38,1.1539361005987423e+38,3.867965479291983e+39,9.183698857138516e+38,39.58748258944925,0.10311440881438591,./fits files/Other Supernova/SN2011hr/1/AIS_85/AIS_85_sg74-fd-int.fits
SN2011io,0.04,0.0010019922072870748,0.0004018580929844287,1.9980164727480254e-05,0.0023790520689356554,3764.05,0.0007950130949414752,3.3306728965099176e-18,1.1130183329180652e-18,1.2676070988044359e+37,4.286161843299414e+36,8.150370742065197e+36,2.78551992612919e+36,36.911177364270166,0.14842710490528307,./fits files/Other Supernova/SN2011io/1/NGA_NGC7469/NGA_NGC7469-fd-int.fits
SN2011iy,0.00427,0.001001202585076579,0.03471891577823801,0.01821312332043495,6.19271748313291,96.0,0.2539832161309833,8.669804476386073e-15,3.555765025833766e-16,3.561253162263572e+38,1.6819568670740398e+38,1.9782855776898034e+40,1.396414126611905e+40,40.29628898486608,0.3065558160452766,./fits files/Other Supernova/SN2011iy/1/AIS_230/AIS_230_sg94-fd-int.fits
SN2011jh,0.00779,0.0010012237849572015,0.010447369063249062,0.002771756472834541,1.354769055873438,103.0,0.11468695554998676,1.8966766782228132e-15,1.6056173776998148e-16,2.607265011574751e+38,7.094650989509657e+37,4.3582495714588404e+39,1.65631794563866e+39,39.63931209612685,0.1650501496699324,./fits files/Other Supernova/SN2011jh/1/AIS_331/AIS_331_sg93-fd-int.fits
SN2012bh,0.02524,0.0010015115780978394,0.001002761914596816,7.938826326025339e-05,0.01193783808744132,13755.6,0.000931586265936969,1.671297332241785e-17,1.3042207723117567e-18,2.477226362076704e+37,2.784035188951199e+36,3.974509199561185e+37,5.46379434855622e+36,37.59928350655664,0.059702861829936726,./fits files/Other Supernova/SN2012bh/1/PS_NGC4258_MOS26/PS_NGC4258_MOS26-fd-int.fits
SN2012bm,0.0248,0.0010015005858530612,0.0010384596559171954,8.368981824132953e-05,0.039484980105350655,1572.2,0.005011434679296158,5.527897214749092e-17,7.016008551014621e-18,7.905098465205445e+37,1.1957142667752364e+37,1.3134601331470071e+38,2.2511178819982477e+37,38.11841689538092,0.07443302233491944,./fits files/Other Supernova/SN2012bm/2/GI1_047086_UGC08215/GI1_047086_UGC08215-fd-int.fits
SN2012bo,0.02543,0.0010015163844710802,0.0009879157147219709,7.762196776238715e-05,0.054457121132754166,96.0,0.023817254911348944,7.623996958585584e-17,3.334415687588852e-17,1.1474494937323775e+38,5.10230885258208e+37,1.8137334187327764e+38,8.189978133652428e+37,38.258573455115936,0.19610722687343213,./fits files/Other Supernova/SN2012bo/1/AIS_330/AIS_330_sg02-fd-int.fits
SN2012bp,0.02829,0.0010015930848223866,0.0007992642487540892,5.638520517704565e-05,0.025228683888166157,227.05,0.010541115014995354,3.5320157443432624e-17,1.4757561020993497e-17,6.607272039436376e+37,2.801714554086963e+37,8.449530116662421e+37,3.63214301233175e+37,37.92683255824973,0.18668726496737043,./fits files/Other Supernova/SN2012bp/3/AIS_10/AIS_10_sg73-fd-int.fits
SN2012fb,0.038,0.0010019143593461592,0.00044487946849582066,2.329528568976449e-05,0.046681197579486335,91.0,0.02264906598436074,6.535367661128087e-17,3.170869237810504e-17,2.2381082526901352e+38,1.0926586486019601e+38,1.5931014558286352e+38,7.822230890742626e+37,38.2022434344976,0.21324139147532745,./fits files/Other Supernova/SN2012fb/1/AIS_63/AIS_63_sg04-fd-int.fits
SN2012fm,0.014,0.0010012913579293614,0.003243350583015602,0.0004672858427395819,0.17858909514846782,282.05,0.0251631161548872,2.5002473320785495e-16,3.5228362616842084e-17,1.1207886059787228e+38,2.262677840304796e+37,5.816176605821334e+38,1.4425316722625023e+38,38.76463758522533,0.10771398251683686,./fits files/Other Supernova/SN2012fm/1/AIS_93/AIS_93_sg08-fd-int.fits
SN2012fr,0.005,0.0010012059645567563,0.025329034183305878,0.01099662959550734,2.0873118212469954,200.0,0.10215947898025478,2.9222365497457937e-15,1.430232705723567e-16,1.6477358159264492e+38,6.673510020917431e+37,6.677689089065348e+39,3.964776759967017e+39,39.82462619458558,0.2578557710408369,./fits files/Other Supernova/SN2012fr/2/AIS_423/AIS_423_sg49-fd-int.fits
SN2013ar,0.06,0.001002989722511664,0.00018019712107696694,5.947071835475139e-06,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,nan,./fits files/Other Supernova/SN2013ar/1/AIS_80/AIS_80_sg62-fd-int.fits
SN2013b,0.06585,0.0010033566693673913,0.00014999473218232063,4.505535844721254e-06,0.00035967891717013947,108.05,0.0018245051030702799,5.035504840381952e-19,2.554307144298392e-18,5.392844651351318e+36,2.735625236433802e+37,1.2942372626884818e+36,6.565385096887642e+36,36.11201389954045,2.2030817697407383,./fits files/Other Supernova/SN2013be/4/AIS_223/AIS_223_sg23-fd-int.fits
SN2013bo,0.036,0.0010018404980155398,0.0004952470448149612,2.7388158607281676e-05,0.027829536485614585,224.0,0.011146254859803681,3.896135107986042e-17,1.5604756803725154e-17,1.1939615656341286e+38,4.830479653921839e+37,9.460894992047142e+37,3.8632426497739315e+37,37.9759322222075,0.17733892686267702,./fits files/Other Supernova/SN2013bo/1/AIS_108/AIS_108_sg22-fd-int.fits
