SN2011hk,GALEX_AIS_284_coaddI_mrp_1.tar ; GALEX_XMMLSS_08_coaddI_mrp_0.tar  ,AIS_284_sg34-nd-int.fits ; XMMLSS_08-nd-int.fits, ,AIS_284_sg34-fd-int.fits ; XMMLSS_08-fd-int.fits, 
SN2011ho,GALEX_AIS_106_coaddI_mrp_1.tar,AIS_106_sg97-nd-int.fits, ,AIS_106_sg97-fd-int.fits, 
SN2011hr,GALEX_AIS_85_coaddI_mrp_0.tar,AIS_85_sg74-nd-int.fits, ,AIS_85_sg74-fd-int.fits, 
SN2011io,GALEX_NGA_NGC7469_coaddI_mrp_0.tar ; GALEX_AIS_148_coaddI_mrp_3.tar ; GALEX_AIS_148_coaddI_mrp_4.tar,NGA_NGC7469-nd-int.fits ; AIS_148_sg65-nd-int.fits ; AIS_148_sg76-nd-int.fits, ,NGA_NGC7469-fd-int.fits ; AIS_148_sg65-fd-int.fits ; AIS_148_sg76-fd-int.fits, 
SN2011iu,GALEX_AIS_33_coaddI_mrp_0.tar ; GALEX_AIS_33_coaddI_mrp_1.tar,AIS_33_sg95-nd-int.fits ; AIS_33_sg94-nd-int.fits, ,no_file ; no_file, 
SN2011iy,GALEX_AIS_230_coaddI_mrp_4.tar,AIS_230_sg94-nd-int.fits, ,AIS_230_sg94-fd-int.fits, 
SN2011jh,GALEX_AIS_331_coaddI_mrp_2.tar,AIS_331_sg93-nd-int.fits, ,AIS_331_sg93-fd-int.fits, 
SN2012bh,GALEX_PS_NGC4258_MOS26_coaddI_mrp_1.tar ; GALEX_GI1_047059_NGC4144_coaddI_mrp_1.tar,PS_NGC4258_MOS26-nd-int.fits ; GI1_047059_NGC4144-nd-int.fits, ,PS_NGC4258_MOS26-fd-int.fits ; GI1_047059_NGC4144-fd-int.fits, 
SN2012bm,GALEX_AIS_103_coaddI_mrp_1.tar ; GALEX_GI1_047086_UGC08215_coaddI_mrp_1.tar ; GALEX_AIS_108_coaddI_mrp_2.tar ; GALEX_AIS_103_coaddI_mrp_3.tar,AIS_103_sg75-nd-int.fits ; GI1_047086_UGC08215-nd-int.fits ; AIS_108_sg03-nd-int.fits ; AIS_103_sg65-nd-int.fits, ,AIS_103_sg75-fd-int.fits ; GI1_047086_UGC08215-fd-int.fits ; AIS_108_sg03-fd-int.fits ; AIS_103_sg65-fd-int.fits, 
SN2012bo,GALEX_AIS_330_coaddI_mrp_5.tar ; GALEX_AIS_330_coaddI_mrp_6.tar,AIS_330_sg02-nd-int.fits ; AIS_330_sg07-nd-int.fits, ,AIS_330_sg02-fd-int.fits ; AIS_330_sg07-fd-int.fits, 
SN2012bp,GALEX_AIS_10_coaddI_mrp_0.tar ; GALEX_MISGCSN_11510_1056_coaddI_mrp_1.tar ; GALEX_AIS_10_coaddI_mrp_2.tar ; GALEX_MISGCSN2_11511_0011_css44029_coaddI_mrp_1.tar,AIS_10_sg65-nd-int.fits ; MISGCSN_11510_1056-nd-int.fits ; AIS_10_sg73-nd-int.fits ; MISGCSN2_11511_0011_css44029-nd-int.fits, ,AIS_10_sg65-fd-int.fits ; no_file ; AIS_10_sg73-fd-int.fits ; no_file, 
SN2012fb,GALEX_AIS_63_coaddI_mrp_9.tar ; GALEX_AIS_63_coaddI_mrp_10.tar,AIS_63_sg04-nd-int.fits ; AIS_63_sg05-nd-int.fits, ,AIS_63_sg04-fd-int.fits ; AIS_63_sg05-fd-int.fits, 
SN2012fk,GALEX_AIS_178_coaddI_mrp_6.tar,AIS_178_sg78-nd-int.fits, ,no_file, 
SN2012fm,GALEX_AIS_93_coaddI_mrp_1.tar,AIS_93_sg08-nd-int.fits, ,AIS_93_sg08-fd-int.fits, 
SN2012fr,GALEX_NGA_NGC1365_coaddI_mrp_0.tar ; GALEX_AIS_423_coaddI_mrp_4.tar ; GALEX_AIS_423_coaddI_mrp_5.tar ; GALEX_FORNAX_MOS07_coaddI_mrp_0.tar,NGA_NGC1365-nd-int.fits ; AIS_423_sg49-nd-int.fits ; AIS_423_sg40-nd-int.fits ; FORNAX_MOS07-nd-int.fits, ,NGA_NGC1365-fd-int.fits ; AIS_423_sg49-fd-int.fits ; FORNAX_MOS07-fd-int.fits, 
SN2012go,GALEX_AIS_41_coaddI_mrp_0.tar ; GALEX_AIS_41_coaddI_mrp_1.tar ,AIS_41_sg17-nd-int.fits ; AIS_41_sg10-nd-int.fits, ,AIS_41_sg17-fd-int.fits ; AIS_41_sg10-fd-int.fits, 
SN2013ar,GALEX_AIS_80_coaddI_mrp_13.tar ; GALEX_AIS_80_coaddI_mrp_14.tar ; GALEX_MISDR1_03424_0445_coaddI_mrp_1.tar,AIS_80_sg62-nd-int.fits ; AIS_80_sg52-nd-int.fits ; MISDR1_03424_0445-nd-int.fits, ,AIS_80_sg62-fd-int.fits ; AIS_80_sg52-fd-int.fits ; no_file, 
SN2013be,GALEX_AIS_223_coaddI_mrp_1.tar ; GALEX_NGA_Virgo_MOS07_coaddI_mrp_1.tar ; GALEX_Virgo_Epoque_MOS12_coaddI_mrp_0.tar ; GALEX_AIS_223_coaddI_mrp_4.tar,AIS_223_sg82-nd-int.fits ; NGA_Virgo_MOS07-nd-int.fits ; Virgo_Epoque_MOS12-nd-int.fits ; AIS_223_sg23-nd-int.fits, ,AIS_223_sg82-fd-int.fits ; NGA_Virgo_MOS07-fd-int.fits ; Virgo_Epoque_MOS12-fd-int.fits ; AIS_223_sg23-fd-int.fits, 
SN2013bo,GALEX_AIS_108_coaddI_mrp_7.tar ; GALEX_AIS_108_coaddI_mrp_9.tar ; GALEX_GI6_012091_HRS291_coaddI_mrp_1.tar,AIS_108_sg22-nd-int.fits ; AIS_108_sg32-nd-int.fits ; GI6_012091_HRS291-nd-int.fits, ,AIS_108_sg22-fd-int.fits ; AIS_108_sg32-fd-int.fits ; no_file, 
SN2013bq,GALEX_AIS_108_coaddI_mrp_10.tar ; GALEX_AIS_108_coaddI_mrp_11.tar,AIS_108_sg25-nd-int.fits ; AIS_108_sg16-nd-int.fits, ,AIS_108_sg25-fd-int.fits ; AIS_108_sg16-fd-int.fits, 
SN2013bs,GALEX_AIS_11_coaddI_mrp_0.tar ; GALEX_AIS_11_coaddI_mrp_2.tar ; GALEX_MISMWS_11196_0012_coaddI_mrp_1.tar,AIS_11_sg74-nd-int.fits ; AIS_11_sg40-nd-int.fits ; MISMWS_11196_0012-nd-int.fits, ,AIS_11_sg74-fd-int.fits ; AIS_11_sg40-fd-int.fits ; MISMWS_11196_0012-fd-int.fits, 
SN2013bt,GALEX_AIS_101_coaddI_mrp_0.tar ; GALEX_AIS_98_coaddI_mrp_2.tar ; GALEX_AIS_98_coaddI_mrp_3.tar ; GALEX_MISGCSN_02376_0606_coaddI_mrp_0.tar,AIS_101_sg32-nd-int.fits ; AIS_98_sg54-nd-int.fits ; AIS_98_sg79-nd-int.fits ; MISGCSN_02376_0606-nd-int.fits, ,AIS_101_sg32-fd-int.fits ; AIS_98_sg54-fd-int.fits ; AIS_98_sg79-fd-int.fits ; no_file, 
SN2013ck,GALEX_AIS_115_coaddI_mrp_1.tar,AIS_115_sg10-nd-int.fits, ,AIS_115_sg10-fd-int.fits, 
SN2013cs,GALEX_AIS_234_coaddI_mrp_1.tar,AIS_234_sg45-nd-int.fits, ,AIS_234_sg45-fd-int.fits, 
SN2013da,GALEX_AIS_235_coaddI_mrp_3.tar ; GALEX_AIS_225_coaddI_mrp_4.tar ; GALEX_AIS_235_coaddI_mrp_4.tar,AIS_235_sg08-nd-int.fits ; AIS_225_sg87-nd-int.fits ; AIS_235_sg15-nd-int.fits, ,AIS_235_sg08-fd-int.fits ; AIS_225_sg87-fd-int.fits ; AIS_235_sg15-fd-int.fits, 
SN2013fj,GALEX_AIS_151_coaddI_mrp_0.tar ; GALEX_AIS_151_coaddI_mrp_1.tar ; GALEX_AIS_151_coaddI_mrp_2.tar,AIS_151_sg11-nd-int.fits ; AIS_151_sg05-nd-int.fits ; AIS_151_sg12-nd-int.fits, ,AIS_151_sg11-fd-int.fits ; AIS_151_sg05-fd-int.fits ; AIS_151_sg12-fd-int.fits, 
SN2013fn,GALEX_AIS_248_coaddI_mrp_2.tar ; GALEX_AIS_248_coaddI_mrp_3.tar,AIS_248_sg12-nd-int.fits ; AIS_248_sg13-nd-int.fits, ,AIS_248_sg12-fd-int.fits ; AIS_248_sg13-fd-int.fits, 
SN2013fw,GALEX_AIS_160_coaddI_mrp_2.tar ; GALEX_DNE_EF_PEG_coaddI_mrp_2.tar ; GALEX_DNE_EF_PEG_coaddI_mrp_3.tar,AIS_160_sg46-nd-int.fits ; DNE_EF_PEG-nd-int.fits ; DNE_EF_PEG-nd-int.fits, ,AIS_160_sg46-fd-int.fits ; DNE_EF_PEG-fd-int.fits ; DNE_EF_PEG-fd-int.fits, 
SN2014aa,GALEX_A1367_SPEC_A_coaddI_mrp_3.tar ; GALEX_GI5_063012_A1367_FIELD1_coaddI_mrp_1.tar ; GALEX_A1367_SPEC_A_coaddI_mrp_4.tar ; GALEX_AIS_226_coaddI_mrp_2.tar,A1367_SPEC_A-nd-int.fits ; GI5_063012_A1367_FIELD1-nd-int.fits ; A1367_SPEC_A-nd-int.fits ; AIS_226_sg41-nd-int.fits, ,A1367_SPEC_A-fd-int.fits ; GI5_063012_A1367_FIELD1-fd-int.fits ; A1367_SPEC_A-fd-int.fits ; AIS_226_sg41-fd-int.fits, 
SN2014J,GALEX_GI1_071001_M81_coaddI_mrp_0.tar ; GALEX_NGA_M82_coaddI_mrp_3.tar ; GALEX_NGA_M81andM82_coaddI_mrp_2.tar,GI1_071001_M81-nd-int.fits ; NGA_M82-nd-int.fits ; NGA_M81andM82-nd-int.fits, ,no_file ; NGA_M82-fd-int.fits ; NGA_M81andM82-fd-int.fits, 
SNhunt175,GALEX_AIS_357_coaddI_mrp_1.tar,AIS_357_sg54-nd-int.fits, ,AIS_357_sg54-fd-int.fits, 
SNhunt206,GALEX_AIS_184_coaddI_mrp_0.tar ; GALEX_MISGCSS1_17464_0185_css45391_coaddI_mrp_0.tar ; GALEX_AIS_184_coaddI_mrp_1.tar,AIS_184_sg72-nd-int.fits ; MISGCSS1_17464_0185_css45391-nd-int.fits ; AIS_184_sg71-nd-int.fits, ,AIS_184_sg72-fd-int.fits ; no_file ; AIS_184_sg71-fd-int.fits, 
SNhunt263,GALEX_AIS_85_coaddI_mrp_6.tar ; GALEX_AIS_85_coaddI_mrp_7.tar ; GALEX_MISGCSN3_03609_0086_coaddI_mrp_1.tar,AIS_85_sg15-nd-int.fits ; AIS_85_sg20-nd-int.fits ; MISGCSN3_03609_0086-nd-int.fits, ,AIS_85_sg15-fd-int.fits ; AIS_85_sg20-fd-int.fits ; no_file, 
