SN,RAj2000,DEj2000,Host,z,e_,n_,r_
SN2009fv,247.4343,40.81153,NGC_6173,0.0293,0.00005,NED_Host_Galaxy_Name,CBET_1846
SN2009ig,39.54843,-1.31257,NGC_1015,0.00877,0.000021,NED_Host_Galaxy_Name,CBET_1918
SN2009im,53.34204,-4.99903,NGC_1355,0.0131,0.0001,NED_Host_Galaxy_Name,CBET_1934
SN2009jr,306.60846,2.90889,IC_1320,0.016548,0.00006,NED_Host_Galaxy_Name,CBET_1968
SN2009kk,57.43441,-3.26447,2MFGC_03182,0.012859,0.00015,NED_Host_Galaxy_Name,CBET_1991
SN2009kq,129.06316,28.06711,MCG_+05-21-1,0.011698,0.00002,NED_Host_Galaxy_Name,"ATEL_2291,CBET_2011"
SN2009le,32.32152,-23.41242,ESO_478-6,0.017792,0.000009,NED_21-cm_or_Opt_Smallest_Error,CBET_2025
SN2009lf,30.41513,15.3329,2MASX_J02014081+151952,0.045,0.002,CfA_Optical_Spectrum,CBET_2025
SN2009na,161.75577,26.54364,UGC_5884,0.020979,0.000006,NED_21-cm_or_Opt_Smallest_Error,CBET_2103
SN2010Y,162.76658,65.77966,NGC_3392,0.01086,0.000103,NED_Host_Galaxy_Name,CBET_2168
PS1-10w,160.6745,58.84392,Anonymous,0.031255,0.001,R14,R14
PTF10bjs,195.29655,53.81604,MCG_+09-21-83,0.030027,0.000073,NED_Host_Galaxy_Name,ATEL_2453
SN2010ag,255.9733,31.50152,UGC_10679,0.033791,0.000175,NED_21-cm_or_Opt_Smallest_Error,CBET_2196
SN2010ai,194.84999,27.99646,SDSS_J125925.04+275948.2,0.018369,0.000123,NED_Host_Galaxy_Name,CBET_2200
SN2010cr,202.35442,11.79637,NGC_5177,0.02157,0.000097,NED_Host_Galaxy_Name,ATEL_2580
SN2010dl,323.7544,-0.51345,IC_1391,0.030034,0.00015,NED_Host_Galaxy_Name,CBET_2298
PTF10icb,193.70484,58.88198,MCG_+10-19-1,0.008544,0.000008,NED_21-cm_or_Opt_Smallest_Error,ATEL_2657
SN2010dw,230.66775,-5.92125,2MASX_J15224062-0555214,0.03812,0.00015,NED_Host_Galaxy_Name,CBET_2311
SN2010ew,279.29933,30.63026,CGCG_173-018,0.025501,0.000127,NED_Host_Galaxy_Name,CBET_2356
SN2010ex,345.04505,26.09894,CGCG_475-019,0.022812,0.000005,NED_Host_Galaxy_Name,CBET_2353
SN2010gn,259.45832,40.88128,SDSS_J171750.05+405252.5,0.0365,0.0058,NED_Host_Galaxy_Name,"CBET_2386,CBET_2385"
SN2010iw,131.31205,27.82325,UGC_4570,0.021498,0.000017,NED_Host_Galaxy_Name,CBET_2511
SN2010ju,85.48321,18.49746,UGC_3341,0.015244,0.000013,NED_Host_Galaxy_Name,CBET_2550
SN2010jv,111.86051,33.81143,NGC_2379,0.013469,0.000083,NED_Host_Galaxy_Name,CBET_2550
SN2010kg,70.03505,7.34995,NGC_1633,0.016632,0.000007,NED_21-cm_or_Opt_Smallest_Error,"CBET_2561,CBET_2565"
SN2011B,133.95016,78.21693,NGC_2655,0.00467,0.000003,NED_Host_Galaxy_Name,CBET_2625
SN2011K,71.37662,-7.34808,CSS_J044530.38-072054.7,0.0145,0.001,CfA_Optical_Spectrum,CBET_2636
SN2011aa,114.17727,74.44319,UGC_3906,0.012512,0.000033,NED_21-cm_or_Opt_Smallest_Error,"CBET_2653,brown14"
SN2011ae,178.70514,-16.8628,MCG_-03-30-19,0.006046,0.000019,NED_Host_Galaxy_Name,CBET_2658
SN2011ao,178.46267,33.36277,IC_2973,0.010694,0.000002,NED_21-cm_or_Opt_Smallest_Error,CBET_2669
SN2011at,142.23977,-14.80573,MCG_-02-24-27,0.006758,0.00002,NED_Host_Galaxy_Name,CBET_2676
SN2011by,178.93951,55.32592,NGC_3972,0.002843,0.000005,NED_Host_Galaxy_Name,CBET_2708
SN2011de,235.97179,67.76196,UGC_10018,0.029187,0.000017,NED_21-cm_or_Opt_Smallest_Error,CBET_2728
SN2011df,291.89008,54.38632,NGC_6801,0.014547,0.000019,NED_21-cm_or_Opt_Smallest_Error,"CBET_2729,CBET_2730"
