File Path,Issue
/Volumes/Media RED/fits files/Rigault 15 Supernova/2415374296051351552/MISDR1_33982_0341-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2415374296051351552/MISDR1_33982_0341-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2416183536609394688/MISDR1_10093_0354-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2422763014190006272/MISDR1_18849_0458-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2422763014190006272/MISDR1_18849_0458-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2483983821624573952/NGA_NGC1407-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2483983821624573952/NGA_NGC1407-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2836671967443025920/MISDR2_00589_0559-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2906442577295179776/MISWZS22_20251_0162-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2906442577295179776/MISWZS22_20251_0162-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2906583314783535104/MISWZS22_20615_0261-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2906583314783535104/MISWZS22_20615_0261-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2913092423619969024/MISWZS01_17288_0267-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2913092423619969024/MISWZS01_17288_0267-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2919531163712225280/MISWZS01_17253_0267o-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2919531163712225280/MISWZS01_17253_0267o-nd-int.fits,no supernova found
