sn,Redshift,Redshift Error,NUV Exposure Time,NUV 2kpc Luminosity,NUV 2kpc Luminosity Error,NUV 2kpc Surface Brightness,NUV 2kpc Surface Brightness Error,NUV AB Magnitude,NUV AB Magnitude Error,FUV Exposure Time,FUV 2kpc Luminosity,FUV 2kpc Luminosity Error,FUV 2kpc Surface Brightness,FUV 2kpc Surface Brightness Error,FUV AB Magnitude,FUV AB Magnitude Error
b'SN1990O',0.03066,0.0010016628270351378,145.0,5.552760767712151e+36,1.2319343672593915e+37,2.2643481291060102e+36,5.025827101683475e+36,24.861961389168687,2.4077185620221453,144.0,2.9948900731810354e+37,4.1917030728663995e+37,1.221279651289523e+37,1.7111620737150116e+37,23.85293361900797,1.5178822587053091
b'SN1990af',0.0503,0.00100245622022312,538.1,-9.117785361128024e+35,8.61982804139521e+36,-9.920860632078203e+35,9.379125791752794e+36,nan,-10.264301702019875,336.0,-1.3763681825492147e+37,1.8727768391666855e+37,-1.4975957841376743e+37,2.0385817680123897e+37,nan,-1.476642476879747
b'SN1991U',0.031442,0.0010016870683142638,216.05,0.0,0.0,0.0,0.0,inf,nan,107.0,3.325813320327548e+38,1.0875167534791328e+38,1.4258015203844315e+38,4.748756743081313e+37,21.295105541834868,0.34789454380603924
b'SN1992J',0.0443,0.0010021730756032236,218.0,1.4420171979042611e+37,1.852246520253075e+37,1.2202738373430255e+37,1.5683740632598535e+37,24.6469885435661,1.3936868148145012,218.0,1.6282448857327332e+36,4.750234623874689e+37,1.3778647284754185e+36,4.0197813701643134e+37,27.83576737481457,31.675180704445193
b'SN1992ae',0.0746,0.00100396889566561,558.0,8.812370472713551e+37,2.5228023260713755e+37,2.086277367217464e+38,5.998051213906155e+37,23.860771667645494,0.309298268190714,224.0,4.750663414631591e+37,8.212476792244813e+37,1.1246918853335515e+38,1.9444838329480784e+38,25.352269918340692,1.8766612143035823
b'SN1992ag',0.0262,0.0010015362317280512,112.0,0.0,0.0,0.0,0.0,inf,nan,112.0,0.0,0.0,0.0,0.0,inf,nan
b'SN1992bg',0.0282,0.001001590546812431,199.0,6.021306880214149e+37,1.7677352345655425e+37,2.0794444314508363e+37,6.278852424750054e+36,22.088373589351285,0.3088658024371405,200.0,2.853570245743124e+37,5.033745360017313e+37,9.85473897163882e+36,1.7397838686278587e+37,23.719781112491724,1.9136364711581186
b'SN1992bh',0.0443,0.0010021730756032236,175.0,9.73826014457684e+37,2.7688841017180223e+37,8.240778329785488e+37,2.3720125682083283e+37,22.57321121349775,0.3045117520150995,175.0,1.5501343318024684e+38,8.494066332636293e+37,1.3117654714623951e+38,7.211892584345536e+37,22.889143344257164,0.5927700375600108
b'SN1992bk',0.0587,0.0010029127945459788,1021.05,1.0695726698943907e+37,8.540657814677034e+36,1.5790134400314404e+37,1.2619838614996865e+37,25.60534874909941,0.8661096483222323,388.0,0.0,0.0,0.0,0.0,inf,nan
b'SN1992bl',0.0424,0.0010020908858302349,109.0,-4.205606635055884e+36,1.4062661360645378e+37,-3.2629074126431053e+36,1.0911543765243754e+37,nan,-3.6300869903448674,109.0,6.103872048127543e+37,6.496284793789406e+37,4.735670993489329e+37,5.044999005651399e+37,23.802821855189233,1.154324493155065
b'SN1992bp',0.0789,0.0010042975622115314,106.05,-5.814445492754197e+35,3.907782350262444e+37,-1.5368138791141488e+36,1.0328645397972085e+38,nan,-72.97033645437774,106.05,-2.5575082936798226e+37,7.354998208017275e+37,-6.7597404543127465e+37,1.944070255973673e+38,nan,-3.122273115562782
b'SN1992bs',0.0628,0.001003161115406705,216.0,9.96658160180127e+37,3.4309719100147153e+37,1.6810043956120648e+38,5.810991387672415e+37,23.335019819743373,0.37200015178412255,216.0,4.04856574285363e+38,1.639615175279727e+38,6.828476484285629e+38,2.7737938351518457e+38,22.633784435339397,0.4382119867076827
b'SN1993B',0.0708,0.0010036936900588867,192.0,3.30145355065721e+38,7.258245156917492e+37,7.052065028593964e+38,1.5628322658358276e+38,22.30737772941759,0.2364996457341306,192.0,2.8413914129061254e+38,1.7928220147194254e+38,6.069349972079311e+38,3.83329722804475e+38,23.290965087138783,0.684299619985236
b'SN1993H',0.02421,0.0010014861494619008,137.0,3.222609914111176e+37,1.3628117426365739e+37,8.217009903526266e+36,3.5400819432642016e+36,22.4292619938283,0.44994336664602014,137.0,7.111965823901425e+37,4.335899050030661e+37,1.8134088569840558e+37,1.1155941065367764e+37,22.39045922670603,0.6555816181901732
b'SN1993O',0.0515,0.00100251714871319,215.0,1.3261535652191016e+37,2.012104387206378e+37,1.5118221320912242e+37,2.2945475771596915e+37,25.07640014926583,1.6467476201681506,106.0,-2.958093401996159e+37,5.008226869206611e+37,-3.3722422434478413e+37,5.710880301090603e+37,nan,-1.837692274202097
b'SN1993ac',0.0443,0.0010021730756032236,224.0,2.0209752976716646e+37,1.7348558064035013e+37,1.7102037931651622e+37,1.470079770306479e+37,24.28051213045432,0.9306417118663783,96.0,9.037444345814807e+36,6.396534908180627e+37,7.647729103140453e+36,5.413028760566819e+37,25.97495259205016,7.684471362558734
b'SN1994M',0.02316,0.0010014613168086047,6402.6,0.0,0.0,0.0,0.0,inf,nan,1906.35,0.0,0.0,0.0,0.0,inf,nan
