sn,Redshift,Redshift Error,NUV Exposure Time,NUV 1kpc Luminosity,NUV 1kpc Luminosity Error,NUV 1kpc Surface Brightness,NUV 1kpc Surface Brightness Error,NUV 5kpc Surface Brightness,NUV 5kpc Surface Brightness Error,FUV Exposure Time,FUV 1kpc Luminosity,FUV 1kpc Luminosity Error,FUV 1kpc Surface Brightness,FUV 1kpc Surface Brightness Error,FUV 5kpc Surface Brightness,FUV 5kpc Surface Brightness Error
b'SN2009an',0.009228,0.0010012360058687584,1689.25,1.763017549749961e+36,3.853083697185881e+35,6.573813777424371e+34,2.0225896796801363e+34,8.620046727826989e+36,2.6521617649008585e+36,108.0,-2.3737976217835308e+36,5.187946607910925e+35,-8.851246837055556e+34,2.723295960468205e+34,6.829656335604094e+36,2.101305708962003e+36
b'SN2009dc',0.021391,0.0010014219681757659,122.05,-1.444134833833445e+36,1.3741566646125078e+35,-2.878199363340789e+35,3.833431296899359e+34,4.280236993467082e+36,5.7007845453269834e+35,91.05,-1.2132288154158284e+35,1.1544396155711565e+34,-2.417997490474817e+34,3.220495207479748e+33,1.906753907922444e+37,2.539577417469395e+36
b'SN2009do',0.039734,0.0010019816236937805,170.05,1.253799441718104e+37,6.509682532511567e+35,8.552802248545105e+36,6.164458294325138e+35,1.5185222528225005e+38,1.0944795430201032e+37,102.05,5.058543780336527e+37,2.6263781104957115e+36,3.4506894148508843e+37,2.487094915369516e+36,2.265639856650498e+38,1.632966833608082e+37
b'SN2009ds',0.019227,0.0010013780809429696,199.25,8.721501882754075e+37,9.217978128721823e+36,1.4056425450893017e+37,2.0815893641398064e+36,2.034051675645085e+38,3.012188517575475e+37,106.0,7.161901907542859e+37,7.569597075284234e+36,1.1542821592351118e+37,1.7093545398680942e+36,2.4641299496373273e+38,3.649083270098053e+37
b'SN2009fv',0.0293,0.001001622121093591,27648.05,1.0723637847076894e+37,7.493378346767586e+35,3.996008115924912e+36,3.894288722046631e+35,1.5773483439372733e+38,1.537196544234766e+37,12687.35,-2.3251332570051187e+36,1.6247381205754377e+35,-8.66427186193353e+35,8.443720637655413e+34,1.1470953021674312e+38,1.1178957020985288e+37
b'SN2009fw',0.028226,0.0010015912791852895,185.0,1.2108101017766708e+37,8.775805486276068e+35,4.189171150306843e+36,4.236589218339724e+35,7.368195460879707e+37,7.451597542367343e+36,185.0,5.741099572128038e+36,4.161079681149813e+35,1.986310542281365e+36,2.008793989495363e+35,4.539541557839164e+37,4.5909255387519366e+36
b'SN2009ig',0.00877,0.0010012318894062576,64.0,6.721182354538417e+36,1.5450859842723678e+36,2.2640003852407894e+35,7.328551204038595e+34,9.360554202476587e+36,3.030003935433623e+36,,,,,,,
b'SN2009im',0.0131,0.0010012791785830885,203.0,4.644570401423958e+36,7.171651271990897e+35,3.484217579362105e+35,7.559805693658363e+34,7.895646917407862e+36,1.7131409035673396e+36,203.0,-2.1979175247451713e+36,3.393790307761763e+35,-1.6488118848101285e+35,3.577473906449102e+34,1.760354825166035e+36,3.81949178747488e+35
b'SN2009jr',0.016548,0.001001330225134558,192.0,1.1340381506063387e+38,1.389831671220915e+37,1.3554563359925025e+37,2.3304610567132635e+36,1.824325179845982e+38,3.1365959002282453e+37,192.0,1.0880077454531514e+38,1.3334186529403355e+37,1.3004386064039252e+37,2.235868060369286e+36,2.3418046698471825e+38,4.026307923458116e+37
b'SN2009kk',0.012859,0.0010012760545149498,112.0,-1.9118216094363123e+36,3.0068059556517586e+35,-1.3820516728982815e+35,3.054667865497398e+34,3.471267209738158e+35,7.672338600701788e+34,112.0,6.822039121296452e+36,1.0729321061315678e+36,4.931637205913363e+35,1.0900108869014528e+35,2.6220937329149083e+36,5.795460201180764e+35
