File Path,Issue
/Users/Daniel/Downloads/Other Supernova/2428885094933463040/MISDR1_03517_0550-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2428885094933463040/MISDR1_03517_0550-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2433494247677100032/MISDR1_11377_0632-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2433494247677100032/MISDR1_11377_0632-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2433705353909633024/MISDR1_11316_0633-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2433705353909633024/MISDR1_11316_0633-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2471704475765571584/MISDR2_21200_0744-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2471704475765571584/MISDR2_21200_0744-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2491337355391139840/NGA_NGC5055-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2491337355391139840/NGA_NGC5055-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2492216964693360640/NGA_NGC5474-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2492216964693360640/NGA_NGC5474-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2499464945343660032/NGA_Virgo_MOS03-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2499464945343660032/NGA_Virgo_MOS03-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2499500129715748864/NGA_Virgo_MOS04-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2499500129715748864/NGA_Virgo_MOS04-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2506149976174755840/DNE_EF_PEG-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2506149976174755840/DNE_EF_PEG-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2552522978453618688/UVE_FORNAX-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2552522978453618688/UVE_FORNAX-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2555267359476547584/FORNAX_MOS05-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2555267359476547584/FORNAX_MOS05-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2587848088030806016/SDSS_1179_181_18586-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2587848088030806016/SDSS_1179_181_18586-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2587988825519161344/SDSS_1179_181_18711-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2587988825519161344/SDSS_1179_181_18711-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2840929276465774592/MISDR2_03373_0765-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2840929276465774592/MISDR2_03373_0765-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2919144135619248128/MISWZS01_17289_0269-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/2919144135619248128/MISWZS01_17289_0269-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3061781580067373056/GI1_077007_HD107227-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3061781580067373056/GI1_077007_HD107227-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3084545868808847360/GI2_125011_AGESstrip1_11-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3084545868808847360/GI2_125011_AGESstrip1_11-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3085144003134357504/GI2_125031_AGESstrip2_09-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3085144003134357504/GI2_125031_AGESstrip2_09-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3133487330384412672/GI3_095023_S82_19005-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3133487330384412672/GI3_095023_S82_19005-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3161670012427567104/GI4_085003_NGC4697-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3161670012427567104/GI4_085003_NGC4697-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3190591566485913600/GI5_057007_NGC4710-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3190591566485913600/GI5_057007_NGC4710-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3244494024526004224/GI6_060008_ESSENCE_B4-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3772259605657157632/MISGCSN_11390_1055-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3775461383517241344/MISGCSN_11448_1056-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3778416870772703232/MISGCSS_28817_2312-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3778416870772703232/MISGCSS_28817_2312-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3780563117470121984/MISGCSS_18464_0410-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3780563117470121984/MISGCSS_18464_0410-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3781759386121142272/MISGCSS_21274_2310-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3781759386121142272/MISGCSS_21274_2310-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3785383376446291968/MISGCSS_18463_0410-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3785383376446291968/MISGCSS_18463_0410-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3792455435236147200/MISGCSN1_02405_0094-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3818914083248275456/MISGCSN1_02308_0113-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3845478283974017024/MISGCSN3_04241_0083-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3847202318206369792/MISGCSN3_03562_0081-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3868348126033084416/MISGCSN3_02027_0240-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3883160746481156096/MISGCSN2_11138_0012-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/3940933485652344832/MISGCSS1_26839_0178-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/4547687982324252672/MISGCSS1_07005_0065-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6370915818837901312/AIS_0_sg59-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6370915818837901312/AIS_0_sg59-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6371197245496229888/AIS_8_sg14-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6371197245496229888/AIS_8_sg14-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6371267658263822336/AIS_10_sg55-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6371267658263822336/AIS_10_sg55-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6371267665780015104/AIS_10_sg62-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6371267665780015104/AIS_10_sg62-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6371267670074982400/AIS_10_sg66-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6371267670074982400/AIS_10_sg66-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6371302826529783808/AIS_11_sg40-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6371302826529783808/AIS_11_sg40-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6372076943919022080/AIS_33_sg97-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6372358319037743104/AIS_41_sg04-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6372358319037743104/AIS_41_sg04-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6372358320111484928/AIS_41_sg05-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6372358320111484928/AIS_41_sg05-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6372358334070128640/AIS_41_sg18-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6372358334070128640/AIS_41_sg18-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6372956504902860800/AIS_58_sg52-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6372956504902860800/AIS_58_sg52-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6372956505976602624/AIS_58_sg53-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6372956517787762688/AIS_58_sg64-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373132376297439232/AIS_63_sg05-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373132376297439232/AIS_63_sg05-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373132384887373824/AIS_63_sg13-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373132384887373824/AIS_63_sg13-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373167588586815488/AIS_64_sg31-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373167588586815488/AIS_64_sg31-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373167589660557312/AIS_64_sg32-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373167589660557312/AIS_64_sg32-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373730582563651584/AIS_80_sg72-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373730582563651584/AIS_80_sg72-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373730589006102528/AIS_80_sg78-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373730589006102528/AIS_80_sg78-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373800923390541824/AIS_82_sg46-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373800923390541824/AIS_82_sg46-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373906495834161152/AIS_85_sg64-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373906495834161152/AIS_85_sg64-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373906496907902976/AIS_85_sg65-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6373906496907902976/AIS_85_sg65-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374187906386362368/AIS_93_sg04-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374187906386362368/AIS_93_sg04-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374363881933897728/AIS_98_sg54-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374363881933897728/AIS_98_sg54-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374363908777443328/AIS_98_sg79-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374363908777443328/AIS_98_sg79-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374715670893953024/AIS_108_sg03-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374715670893953024/AIS_108_sg03-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374715684852596736/AIS_108_sg16-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374715684852596736/AIS_108_sg16-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374821221862735872/AIS_111_sg01-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374821221862735872/AIS_111_sg01-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374856445963272192/AIS_112_sg38-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374856445963272192/AIS_112_sg38-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374856447037014016/AIS_112_sg39-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374856447037014016/AIS_112_sg39-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374961961498574848/AIS_115_sg03-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374961961498574848/AIS_115_sg03-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374961970088509440/AIS_115_sg11-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6374961970088509440/AIS_115_sg11-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6375489758218420224/AIS_130_sg32-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6375489758218420224/AIS_130_sg32-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6375736023053238272/AIS_137_sg08-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6375736023053238272/AIS_137_sg08-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6375736113247551488/AIS_137_sg92-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6375736113247551488/AIS_137_sg92-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6376087963410890752/AIS_147_sg98-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6376087963410890752/AIS_147_sg98-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6376158301016555520/AIS_149_sg69-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6376158301016555520/AIS_149_sg69-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6376228617147383808/AIS_151_sg20-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6376228617147383808/AIS_151_sg20-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6376263848764112896/AIS_152_sg64-fd-int.fits,no supernova found
