File Path,Issue
/Users/Daniel/Downloads/Other Supernova/6376263848764112896/AIS_152_sg64-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6376615705369903104/AIS_162_sg76-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6376615705369903104/AIS_162_sg76-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6376756448226967552/AIS_166_sg81-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6376756448226967552/AIS_166_sg81-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6376756457890643968/AIS_166_sg90-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6376756457890643968/AIS_166_sg90-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377143433370271744/AIS_177_sg41-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377143433370271744/AIS_177_sg41-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377178656397066240/AIS_178_sg77-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377178656397066240/AIS_178_sg77-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377249045542338560/AIS_180_sg96-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377249045542338560/AIS_180_sg96-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377389756187148288/AIS_184_sg71-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377389756187148288/AIS_184_sg71-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377389766924566528/AIS_184_sg81-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377389766924566528/AIS_184_sg81-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377495258837549056/AIS_187_sg24-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377495258837549056/AIS_187_sg24-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377882263308206080/AIS_198_sg02-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6377882263308206080/AIS_198_sg02-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6378973042193727488/AIS_229_sg61-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6378973042193727488/AIS_229_sg61-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6379008231934525440/AIS_230_sg66-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6379008231934525440/AIS_230_sg66-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6379008255556845568/AIS_230_sg88-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6379008255556845568/AIS_230_sg88-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6379184099034136576/AIS_235_sg15-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6379184099034136576/AIS_235_sg15-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6379324852628619264/AIS_239_sg30-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6379324852628619264/AIS_239_sg30-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6379324863366037504/AIS_239_sg40-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6379324863366037504/AIS_239_sg40-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6379641493723807744/AIS_248_sg13-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6379641493723807744/AIS_248_sg13-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6380310034374459392/AIS_267_sg48-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6380310034374459392/AIS_267_sg48-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6380978569656401920/AIS_286_sg78-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6380978569656401920/AIS_286_sg78-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6381998915373236224/AIS_315_sg77-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6381998915373236224/AIS_315_sg77-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6382209961476227072/AIS_321_sg21-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6382209961476227072/AIS_321_sg21-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6382526604718899200/AIS_330_sg06-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6382526604718899200/AIS_330_sg06-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6382526605792641024/AIS_330_sg07-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6382526605792641024/AIS_330_sg07-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6382561883580268544/AIS_331_sg94-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6382561883580268544/AIS_331_sg94-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6382632184678711296/AIS_333_sg31-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6382632208301031424/AIS_333_sg53-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6382632208301031424/AIS_333_sg53-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6382667413074214912/AIS_334_sg72-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6382667413074214912/AIS_334_sg72-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6383019208476721152/AIS_344_sg27-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6383019208476721152/AIS_344_sg27-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6383476633231163392/AIS_357_sg53-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6383476633231163392/AIS_357_sg53-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6383476642894839808/AIS_357_sg62-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6383476642894839808/AIS_357_sg62-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6383511856257957888/AIS_358_sg89-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6383511856257957888/AIS_358_sg89-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6388085730140225536/AIS_488_sg01-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6388085730140225536/AIS_488_sg01-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6388710251671060480/Virgo_Epoque_MOS06-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6388710251671060480/Virgo_Epoque_MOS06-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6399828513251131392/MISMWS_11316_0012-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6399828513251131392/MISMWS_11316_0012-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6399863697623220224/MISMWS_11377_0012-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6399863697623220224/MISMWS_11377_0012-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6404965431576100864/MISMWS_02405_0094-fd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6404965431576100864/MISMWS_02405_0094-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6463406673615650816/MISGCSN2_11138_0012_css33460-nd-int.fits,no supernova found
/Users/Daniel/Downloads/Other Supernova/6467312138917511168/MISGCSS1_17464_0185_css45391-nd-int.fits,no supernova found
