sn,Redshift,Redshift Error,NUV Exposure Time,NUV 1kpc Luminosity,NUV 1kpc Luminosity Error,NUV 1kpc Surface Brightness,NUV 1kpc Surface Brightness Error,NUV 5kpc Surface Brightness,NUV 5kpc Surface Brightness Error,FUV Exposure Time,FUV 1kpc Luminosity,FUV 1kpc Luminosity Error,FUV 1kpc Surface Brightness,FUV 1kpc Surface Brightness Error,FUV 5kpc Surface Brightness,FUV 5kpc Surface Brightness Error
b'PSNJ03034759+0024146',0.04,0.0010019922072870748,3403.05,-6.573332432176588e+35,1.485851021251116e+36,-4.543707610923638e+35,1.0273178075031698e+36,1.631739815425838e+36,5.332911327196211e+36,3403.05,7.43125499377041e+35,4.316663336806328e+36,5.13673242944878e+35,2.983931349197581e+36,6.13381160840927e+36,1.4679687018520103e+37
b'PSNJ07250042+2347030',0.018,0.0010013552733490869,217.0,2.1912747995369697e+37,5.509723482124707e+36,3.096951525187554e+36,8.509786585214481e+35,7.301167786797264e+37,1.2039877245495553e+37,217.0,2.1908978923960764e+37,1.260717867915534e+37,3.096418838394876e+36,1.814529862900168e+36,7.7075728722001875e+37,1.498780046847196e+37
b'PSNJ08351668+4819011',0.043,0.0010021164520473778,111.0,2.86665078926116e+37,1.7435319733920662e+37,2.286866855539719e+37,1.3949014987132845e+37,3.880699133704671e+38,6.53783229340351e+37,111.0,1.54649958374894e+38,9.459448450361103e+37,1.2337179866588992e+38,7.567726381513002e+37,8.197611139594543e+38,2.09318640033063e+38
b'PSNJ10292799+2200468',0.05445,0.001002673020462815,2505.05,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0
b'PSNJ15044009+1237540',0.03,0.0010016428422666558,140.0,5.33840013478216e+37,1.4321680072956387e+37,2.084823572686072e+37,5.761543631051731e+36,6.944272180506192e+38,7.288172335814293e+37,140.0,-3.270227882786365e+36,8.3079306656922e+36,-1.2771332245529567e+36,3.245630349918499e+36,5.8238755293969614e+38,9.163414290815732e+37
b'PTF11mty',0.077,0.0010041500801493892,1861.05,0.0,0.0,0.0,0.0,0.0,0.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0
b'PTF11owc',0.07,0.0010036375757533317,3351.15,5.513844923797401e+36,3.2378191689406746e+36,1.151731995769629e+37,6.770964624228746e+36,3.60093200985732e+38,3.839367018857312e+37,1658.1,3.640691951805858e+37,2.0448551258229844e+37,7.604677798497069e+37,4.276683033893842e+37,3.891158793184185e+38,1.152049675307663e+38
b'PTF11qmo',0.055,0.0010027030385233828,1304.0,0.0,0.0,0.0,0.0,0.0,0.0,1304.0,-2.2602946243131447e+36,6.694917208890931e+36,-2.934312836790385e+36,8.691979114041701e+36,8.982330479698224e+37,5.925707626528924e+37
b'PTF11qpc',0.091,0.0010053205376714556,3153.55,2.2493243745503156e+37,6.6740763234114e+36,7.865231468547293e+37,2.339926922310276e+37,1.9927874719545547e+39,1.3306834960080458e+38,1491.3,3.081138295048225e+37,2.6684951254682932e+37,1.0773842204063734e+38,9.333860986715925e+37,1.9715085418101524e+39,4.138344865385259e+38
b'PTF11qri',0.055,0.0010027030385233828,123.0,5.8008672651431745e+37,2.913685474623923e+37,7.530681663147892e+37,3.7922554152019933e+37,8.840031728705956e+38,1.4741597668258452e+38,123.0,2.4920366029077037e+37,5.071662945387565e+37,3.235160104796367e+37,6.585060017611615e+37,1.2151989938161074e+39,3.956599636500622e+38
b'PTF11qzq',0.06,0.001002989722511664,260.05,1.6229705986914946e+37,1.4065397662485236e+37,2.501844444621475e+37,2.169781458100409e+37,5.004139699020896e+38,1.0471166265762762e+38,260.05,1.2165685308421995e+37,3.4211929689848415e+37,1.8753668260181629e+37,5.274206068224703e+37,3.9150876892957644e+38,2.5340884335771674e+38
b'PTF12iiq',0.029,0.0010016133902180145,1677.0,0.0,0.0,0.0,0.0,0.0,0.0,1677.0,0.0,0.0,0.0,0.0,0.0,0.0
b'PTF12ikt',0.045,0.0010022042623457678,6340.85,2.7073144050397353e+37,2.69311289336563e+36,2.363243946393936e+37,2.5714913198182238e+36,4.782127603927363e+38,3.196996625651099e+37,,,,,,,
b'PTF13ayw',0.0538,0.0010026379323883694,231.05,9.27186240438467e+36,1.0913748282317196e+37,1.1523372384773636e+37,1.3570598297112431e+37,1.406588730097253e+38,5.918946329667184e+37,103.05,0.0,0.0,0.0,0.0,0.0,0.0
b'PTF13dad',0.086,0.0010048802831501993,151.0,3.6335130214430486e+37,3.554605153097171e+37,1.1373304224188263e+38,1.1129365216359956e+38,4.4484028901253635e+38,3.4211356723369795e+38,151.0,-6.588022292258904e+36,3.3880398759610388e+37,-2.0621250377640634e+37,1.0605050944938678e+38,-3.839352619429194e+38,5.942470465310862e+38
b'PTF13ddg',0.084,0.001004711094526195,1188.15,0.0,0.0,0.0,0.0,0.0,0.0,1188.15,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2011fe',0.008,0.001001225440879338,13294.4,4.586205091922254e+37,1.1561820331867335e+37,1.2859073287342949e+36,4.564296830940428e+35,2.0710288543925067e+37,7.347829774864946e+36,13293.4,8.1592917167356945e+37,2.0613591997402043e+37,2.2877505051641327e+36,8.129086241407478e+35,3.9020989551075402e+37,1.3845335561670539e+37
b'SN2011fs',0.021,0.001001413692468814,352.05,9.712532372172394e+35,3.098285054730147e+36,1.8659331277943863e+35,5.9549374675705994e+35,2.213030605215723e+37,4.456827535482001e+36,157.05,-8.887864460701202e+36,1.185715772889279e+37,-1.7075012053585976e+36,2.2837104284155858e+36,2.820992726423026e+37,1.6354458176016017e+37
b'SN2011gf',0.027,0.0010015574788618097,2943.3,-1.5636841852638072e+35,1.1812355938867553e+36,-4.952940772478773e+34,3.741720229137222e+35,1.289771867596495e+36,1.9008725041242055e+36,2943.3,-2.966319388229954e+35,2.7121269997410433e+36,-9.395761868423423e+34,8.59089164106005e+35,-1.8143112678315098e+36,4.315335159737794e+36
b'SN2011ha',0.094,0.001005596531151547,2939.05,0.0,0.0,0.0,0.0,0.0,0.0,2939.05,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2011hb',0.029,0.0010016133902180145,331.0,2.768458568573914e+37,3.591984046641085e+36,1.0107415492010027e+37,1.4835978538918638e+36,4.244553149599064e+38,4.4436007776859e+37,1643.35,5.295155086540587e+37,1.0640611306917454e+37,1.9332177538010028e+37,4.1051619102164074e+36,6.804358917380136e+38,7.028017820749067e+37
b'SN2011hk',0.018,0.0010013552733490869,30787.5,4.250674342092468e+37,4.820594304887289e+36,6.007522374464644e+36,9.52593129370733e+35,1.55429295293069e+38,2.4580314906540104e+37,30536.5,3.560571815476595e+37,4.182874154879415e+36,5.032193277086981e+36,8.127120211035072e+35,1.5462245932453192e+38,2.4466911167925798e+37
b'SN2011ho',0.032,0.0010017047386650542,108.0,-2.0136682043849364e+36,4.7645253773535825e+36,-8.939687606783151e+35,2.1159427948705102e+36,4.819927835664833e+37,1.6555394857136906e+37,108.0,-1.850204296543061e+36,7.598754698871264e+36,-8.213988969883479e+35,3.3738564643679264e+36,1.2916688507558712e+37,2.7370484961008073e+37
b'SN2011hr',0.013,0.0010012778752494357,105.0,1.712676680820999e+38,2.9077848263440177e+37,1.265313240829637e+37,2.896988782641746e+36,9.463659060859589e+37,2.0837456250212692e+37,105.0,2.2000654223315452e+38,4.82012425491233e+37,1.6253925453303338e+37,4.349108616993818e+36,1.0174694394118688e+38,2.3156367086674696e+37
b'SN2011io',0.04,0.0010019922072870748,3764.05,-1.1277660545209885e+35,1.4346480086439477e+36,-7.795496817086397e+34,9.91684325444939e+35,3.850026887842634e+35,4.992186330789489e+36,3764.05,-2.136450045399516e+36,2.8990336472734375e+36,-1.476785851286328e+36,2.0052505415873674e+36,-9.673201118675057e+36,1.1286832364431646e+37
b'SN2011iu',0.046,0.0010022496612441555,138.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
b'SN2011iy',0.00427,0.001001202585076579,319.0,3.2296656622028467e+37,1.523447483239209e+37,2.5839785906397075e+35,1.717888514943714e+35,4.123269887587994e+36,2.7380037429346414e+36,96.0,2.355175808162204e+37,1.202537397707287e+37,1.8843200820151888e+35,1.3057540663118709e+35,3.588576291151152e+36,2.3889161623936867e+36
