Name,                    semester,    RA,            Dec,      z
PSNJ07250042+2347030,     2012B,  07:25:00.408,  +23:47:03.15,0.018
SN2012fm,                 2012B,  06:56:13.39,   +84:04:50.2,0.014
SN2012fr,                 2012B,  03:33:36.277,  -36:07:35.15,0.005
SN2012fk,                 2012B,  02:30:52.081,  +22:28:46.02,0.035
LSQ12fuk,                 2012B,  04:58:15.927,  -16:17:58.14,0.02
SN2012gm,                 2012B,  23:17:37.055,  +14:00:08.89,0.015
LSQ12gef,                 2012B,  01:40:33.751,  +18:30:36.74,0.065
CSS121114:090202+101800,  2012B,  09:02:02.420,  +10:18:00.31,0.042
SN2012go,                 2012B,  22:41:51.848,  +34:58:07.39,0.03
SN2012cg,                 2013A,  12:27:12.826,  +09:25:12.93,0.00145
SN2013cs,                 2013A,  13:15:14.839,  -17:57:55.24,0.00924
SN2013da,                 2013A,  13:45:36.338,  -07:19:33.69,0.0216
SN2013bs,                 2013A,  17:17:22.03,   +41:04:00.2,0.0276
PTF13asv,                 2013A,  16:22:43.19,   +18:57:35.0,0.035
SN2013bo,                 2013A,  13:17:29.19,   +42:44:29.6,0.036
SN2013bt,                 2013A,  14:21:15.185,  +61:34:15.42,0.0364
SNhunt175,                2013A,  15:19:24.978,  +20:54:01.61,0.0409
SN2013ck,                 2013A,  15:24:29.105,  +48:32:54.53,0.049
CSS130218:092354+385837,  2013A,  09:23:54.52,   +38:58:36.8,0.05
PTF13ayw,                 2013A,  15:39:33.479,  +32:05:38.33,0.0538
SN2013cb,                 2013A,  11:35:01.736,  +16:07:14.91,0.0541
SN2013bq,                 2013A,  13:04:08.45,   +43:54:07.7,0.06
SN2013ar,                 2013A,  08:37:45.02,   +49:28:32.2,0.06
SN2013be,                 2013A,  12:36:27.638,  +11:45:27.96,0.06585
CSS130317:082848+293031,  2013A,  08:28:47.784,  +29:30:30.85,0.08
iPTF13ebh,                2013B,  02:21:59.98,   +33:16:13.7,0.01327
iPTF13dge,                2013B,  05:03:35.091,  +01:34:17.03,0.01584
SN2013fw,                 2013B,  21:13:44.763,  +13:34:33.33,0.01695
SN2013fn,                 2013B,  21:00:23.673,  -14:29:52.42,0.027
SNhunt206,                2013B,  01:58:42.759,  +08:20:39.51,0.027
iPTF13dkj,                2013B,  23:08:50.737,  +20:04:08.59,0.03
iPTF13dkx,                2013B,  01:20:53.115,  +03:20:23.65,0.03
PS1-13dkh,                2013B,  03:11:16.09,   +15:42:58.3,0.03
SN2013fj,                 2013B,  22:15:28.480,  +15:34:03.19,0.03357
iPTF13dkl,                2013B,  23:44:57.999,  +03:23:40.07,0.04
LSQ13cmt,                 2013B,  01:02:41.95,   -21:52:23.4,0.057
LSQ13crf,                 2013B,  03:10:50.263,  +01:25:19.19,0.06
LSQ13cwp,                 2013B,  04:03:50.662,  -02:39:18.57,0.067
PTF13ddg,                 2013B,  00:47:50.83,   +31:49:17.5,0.084
PTF13dad,                 2013B,  01:48:08.39,   +37:33:29.1,0.086
SN2014J,                  2014A,  09:55:42.14,   +69:40:26.0,0.00068
SN2014aa,                 2014A,  11:45:03.58,   +19:58:25.4,0.01698
LSQ14ahm,                 2014A,  11:41:22.45,   -12:23:57.5,0.05
LSQ14xi,                  2014A,  12:30:41.17,   -13:46:21.9,0.05
LSQ14age,                 2014A,  13:24:08.60,   -13:26:25.9,0.06
PS1-14ra,                 2014A,  14:41:28.44,   +09:25:58.7,0.03
PSNJ15044009+1237540,     2014A,  15:04:40.09,   +12:37:54.0,0.03
LSQ14aeg,                 2014A,  10:19:36.79,   +19:33:20.3,0.06
PS1-14rx,                 2014A,  12:46:53.35,   +14:47:50.1,0.06
LSQ14act,                 2014A,  15:59:44.65,   -10:26:40.8,0.06
CSS140425:161024+470440,  2014A,  16:10:23.61,   +47:04:40.3,0.03
PS1-14xw,                 2014A,  16:52:57.63,   +02:23:36.5,0.02
CSS140501:170414+174839,  2014A,  17:04:13.69,   +17:48:39.4,0.07
PSNJ15024996+4847062,     2014A,  15:02:49.96,   +48:47:06.2,0.02614
ASASSN-14ay,              2014A,  15:57:03.15,   +37:24:57.78,0.030869
iPTF14bdn,                2014A,  13:30:44.88,   +32:45:42.4,0.01558
ASASSN-14in,              2014B,  18:24:29.61,   +52:26:32.83,0.033
LSQ14fmg,                 2014B,  22:16:46.1,    +15:21:14.1,0.06
iPTF14gdr,                2014B,  00:27:58.35,   -05:12:59.5,0.07
SN2014dk,                 2014B,  00:28:11.96,   +07:09:43.9,0.038
SN2014dm,                 2014B,  04:08:07.12,   -08:49:37.1,0.033
iPTF14gnl,                2014B,  00:23:48.33,   -03:51:27.9,0.05
SNhunt263,                2014B,  09:08:42.48,   +44:48:13.2,0.0268
ASASSN-14iu,              2014B,  09:10:39.53,   +50:22:48.26,0.016855
LSQ14gde,                 2014B,  01:00:42.49,   -14:59:33.3,0.061
PSNJ03034759+0024146,     2014B,  03:03:47.9,    +00:24:14.6,0.04
PSNJ10292799+2200468,     2014B,  10:29:27.99,   +22:00:46.8,0.05445
CSS141123:091002+521856,  2014B,  09:10:02,      +52:18:56,0.0405
PSNJ08351668+4819011,     2014B,  08:35:16.68,   +48:19:01.1,0.043
PS15mb,                   2015A,  08:59:40.20,   +15:11:12.5,0.029
PS15mt,                   2015A,  09:54:44.17,   +23:11:53.1,0.071
ASASSN-15fj,              2015A,  17:10:08.55,   +74:43:42.60,0.045
PSNJ08593491+4555343,     2015A,  08:59:34.91,   +45:55:34.3,0.028
PS15sv,                   2015A,  16:13:11.74,   +01:35:31.1,0.033
ASASSN-15fs,              2015A,  18:58:40.816,  +43:28:07.88,0.02902
LSQ15aae,                 2015A,  16:30:15.70,   +05:55:58.73,0.05
iPTF15xi,                 2015A,  12:12:27.85,   +32:09:54.5,0.04
SN2015G,                  2015A,  20:37:25.57,   +66:07:11.68,0.00475
ASASSN-15ho,              2015A,  09:09:23.89,   -04:43:30.10,0.046
ASASSN-15hg,              2015A,  09:53:48.62,   +09:11:37.8,0.029771
PS15aez,                  2015A,  11:00:09.77,   +05:33:48.5,0.056
