sn,Redshift,Redshift Error,NUV Exposure Time,NUV 1kpc Luminosity,NUV 1kpc Luminosity Error,NUV 1kpc Surface Brightness,NUV 1kpc Surface Brightness Error,NUV 5kpc Surface Brightness,NUV 5kpc Surface Brightness Error,FUV Exposure Time,FUV 1kpc Luminosity,FUV 1kpc Luminosity Error,FUV 1kpc Surface Brightness,FUV 1kpc Surface Brightness Error,FUV 5kpc Surface Brightness,FUV 5kpc Surface Brightness Error
b'SN2011B',0.00467,0.001001204370927347,111.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2011K',0.0145,0.001001298473715018,184.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2011aa',0.012512,0.0010012716582466642,108.0,2.914472988783887e+37,5.49319465777612e+36,1.9949930094488227e+36,4.927306884122128e+35,6.804796397737279e+37,1.5576799361642459e+37,335.0,3.727132044649064e+37,1.0034491572824952e+37,2.5512682405988638e+36,7.98510736533286e+35,1.1837546806538073e+38,2.712977048528617e+37
b'SN2011ae',0.006046,0.0010012117346395938,96.0,0.0,0.0,0.0,0.0,4.384645343606513e+35,2.1040495581893217e+35,112.0,8.95169017605308e+37,3.14456736456867e+37,1.4347761427577645e+36,6.922660408178478e+35,1.6683398022416226e+37,7.848780773452456e+36
b'SN2011ao',0.010694,0.001001250590561636,96.0,7.148744391454055e+37,1.5026039927425162e+37,3.577504044196324e+36,1.0060426513221776e+36,8.425785529076946e+37,2.2437160124399872e+37,96.0,7.938728734346227e+37,2.320859820172178e+37,3.9728423059653503e+36,1.378336816331041e+36,1.2778047188973163e+38,3.4306614626975647e+37
b'SN2011at',0.006758,0.0010012162873365698,112.0,0.0,0.0,0.0,0.0,-3.0103639825327937e+33,7.43064370922649e+33,192.0,6.227485019164721e+37,1.9960872277771775e+37,1.246689671700775e+36,5.4381089889239465e+35,1.141532758169993e+37,4.818177292810951e+36
b'SN2011by',0.002843,0.0010011975160341862,2803.1,2.2255768113781924e+37,1.5711364590827982e+37,7.898397616407278e+34,7.873676180188977e+34,9.605759706514293e+35,9.575353759017467e+35,,,,,,,
b'SN2011de',0.029187,0.0010016188219243009,3456.9,-6.348934207858299e+34,9.822896778584252e+35,-2.347741293410899e+34,3.632396186844039e+35,2.0411961195047046e+36,1.858453775891281e+36,2249.7,-2.6917646335243283e+35,3.0454195341209966e+36,-9.953744637085972e+34,1.1261712350019925e+36,2.5034167806193494e+36,5.835486119937323e+36
b'SN2011df',0.014547,0.0010012991554340914,192.0,-3.0866785126283294e+36,2.428437321059646e+36,-2.85353158447198e+35,2.2789041755255616e+35,1.7740412551450597e+35,1.254203385275467e+36,192.0,9.273570942590137e+35,8.891820851612962e+36,8.573107784713735e+34,8.221034353994954e+35,-2.6086322933162545e+36,3.949393818329171e+36
b'SNF20080514-002',0.022095,0.0010014372533958503,1570.3,7.087314524441216e+36,1.5959495723508562e+36,1.5065629789466593e+36,3.654641690959053e+35,2.4325460155330637e+37,3.4376190221237183e+36,1570.3,5.835474233228631e+36,3.281860606466034e+36,1.2404570749698097e+36,7.06548642754928e+35,1.8554050728949754e+37,3.8597605130683353e+36
b'SNF20080522-000',0.04526,0.0010022159702698938,203.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0
b'SNF20080522-011',0.03777,0.0010019056624074067,1939.0,6.164394494934045e+37,6.045302455769199e+36,3.802912799024607e+37,4.2322284204528574e+36,4.2296524890429244e+38,3.3919818132472586e+37,1939.0,9.770100147046884e+37,1.6802612106508964e+37,6.027329841964362e+37,1.083998521610537e+37,7.054511215491243e+38,6.377113732139334e+37
